Objective,Team 1,T1 Odds,Team 2,T2 Odds
Match Winner,SKT,1.63,G2,2.32
Map Advantage,SKT -1.5,2.15,G2 +1.5,1.65,SKT +1.5,1.30,G2 -1.5,3.34,SKT -2.5,4.04,G2 +2.5,1.22,SKT +2.5,1.09,G2 -2.5,6.49
Correct Score,3:0,4.02,3:1,3.65,3:2,4.54,0:3,6.43,1:3,4.90,2:3,5.06
Total Maps Played,Under 4.5,1.45,Over 4.5,2.64,Under 3.5,3.32,Over 3.5,1.30
SKT to win at least 1 map,Yes,1.09,No,6.49
G2 to win at least 1 map,Yes,1.21,No,4.06
Winner Map 1,SKT,1.68,G2,2.11
First Blood (Map 1),SKT,1.86,G2,1.86
First to 5 Kills (Map 1),SKT,1.80,G2,1.92
First to 10 Kills (Map 1),SKT,1.76,G2,1.97
Total Kills (Map 1),Over 26.5,1.86,Under 26.5,1.86
Total Time (Map 1),Over 33:00,1.70,Under 33:00,2.05
Odd / Even Kills (Map 1),Odd,1.86,Even,1.86
Destroy First Tower (Map 1),SKT,1.84,G2,1.84
Kill First Dragon (Map 1),SKT,1.84,G2,1.84
Kill First Baron (Map 1),SKT,1.75,G2,1.95
To kill Rift Herald (Map 1),SKT,1.86,G2,1.86
First Elemental Dragon (Map 1),Infernal Dragon,3.33,Mountain Dragon,3.33,Ocean Dragon,3.33,Cloud Dragon,3.33
Most Kills #1 (Map 1),Faker,1.69,Khan,2.01
Most Kills #2 (Map 1),Caps,1.83,Perkz,1.83
Winner Map 2,SKT,1.66,G2,2.13
First Blood (Map 2),SKT,1.86,G2,1.86
First to 5 Kills (Map 2),SKT,1.82,G2,1.90
First to 10 Kills (Map 2),SKT,1.76,G2,1.97
Total Kills (Map 2),Over 26.5,1.86,Under 26.5,1.86
Total Time (Map 2),Over 33:00,1.70,Under 33:00,2.05
Odd / Even Kills (Map 2),Odd,1.86,Even,1.86
Destroy First Tower (Map 2),SKT,1.84,G2,1.84
Kill First Dragon (Map 2),SKT,1.84,G2,1.84
Kill First Baron (Map 2),SKT,1.75,G2,1.95
To kill Rift Herald (Map 2),SKT,1.86,G2,1.86
First Elemental Dragon (Map 2),Infernal Dragon,3.33,Mountain Dragon,3.33,Ocean Dragon,3.33,Cloud Dragon,3.33
Most Kills #1 (Map 2),Faker,1.69,Khan,2.01
Most Kills #2 (Map 2),Caps,1.83,Perkz,1.83
Winner Map 3,SKT,1.69,G2,2.08
First Blood (Map 3),SKT,1.86,G2,1.86
First to 5 Kills (Map 3),SKT,1.84,G2,1.88
First to 10 Kills (Map 3),SKT,1.76,G2,1.97
Total Kills (Map 3),Over 26.5,1.86,Under 26.5,1.86
Total Time (Map 3),Over 33:00,1.70,Under 33:00,2.05
Odd / Even Kills (Map 3),Odd,1.86,Even,1.86
Destroy First Tower (Map 3),SKT,1.84,G2,1.84
Kill First Dragon (Map 3),SKT,1.84,G2,1.84
Kill First Baron (Map 3),SKT,1.75,G2,1.95
To kill Rift Herald (Map 3),SKT,1.86,G2,1.86
First Elemental Dragon (Map 3),Infernal Dragon,3.33,Mountain Dragon,3.33,Ocean Dragon,3.33,Cloud Dragon,3.33
Most Kills #1 (Map 3),Faker,1.69,Khan,2.01
Most Kills #2 (Map 3),Caps,1.83,Perkz,1.83
Winner Map 4,SKT,1.72,G2,2.05
First Blood (Map 4),SKT,1.86,G2,1.86
First to 5 Kills (Map 4),SKT,1.86,G2,1.86
First to 10 Kills (Map 4),SKT,1.76,G2,1.97
Total Kills (Map 4),Over 26.5,1.86,Under 26.5,1.86
Total Time (Map 4),Over 33:00,1.70,Under 33:00,2.05
Odd / Even Kills (Map 4),Odd,1.86,Even,1.86
Destroy First Tower (Map 4),SKT,1.84,G2,1.84
Kill First Dragon (Map 4),SKT,1.84,G2,1.84
Kill First Baron (Map 4),SKT,1.75,G2,1.95
To kill Rift Herald (Map 4),SKT,1.86,G2,1.86
First Elemental Dragon (Map 4),Infernal Dragon,3.33,Mountain Dragon,3.33,Ocean Dragon,3.33,Cloud Dragon,3.33
Most Kills #1 (Map 4),Faker,1.69,Khan,2.01
Most Kills #2 (Map 4),Caps,1.83,Perkz,1.83
Winner Map 5,SKT,1.75,G2,2.01
First Blood (Map 5),SKT,1.86,G2,1.86
First to 5 Kills (Map 5),SKT,1.86,G2,1.86
First to 10 Kills (Map 5),SKT,1.76,G2,1.97
Total Kills (Map 5),Over 26.5,1.86,Under 26.5,1.86
Total Time (Map 5),Over 33:00,1.70,Under 33:00,2.05
Odd / Even Kills (Map 5),Odd,1.86,Even,1.86
Destroy First Tower (Map 5),SKT,1.84,G2,1.84
Kill First Dragon (Map 5),SKT,1.84,G2,1.84
Kill First Baron (Map 5),SKT,1.75,G2,1.95
To kill Rift Herald (Map 5),SKT,1.86,G2,1.86
First Elemental Dragon (Map 5),Infernal Dragon,3.33,Mountain Dragon,3.33,Ocean Dragon,3.33,Cloud Dragon,3.33
Most Kills #1 (Map 5),Faker,1.69,Khan,2.01
Most Kills #2 (Map 5),Caps,1.83,Perkz,1.83
