Objective,Team 1,T1 Odds,Team 2,T2 Odds
Match Winner,G2,1.73,FunPlus Phoenix,2.14
Map Advantage,G2 -1.5,2.32,FunPlus Phoenix +1.5,1.56,G2 +1.5,1.35,FunPlus Phoenix -1.5,3.05,G2 -2.5,4.39,FunPlus Phoenix +2.5,1.19,G2 +2.5,1.11,FunPlus Phoenix -2.5,5.96
Correct Score,3:0,4.37,3:1,3.83,3:2,4.63,0:3,5.92,1:3,4.58,2:3,4.83
Total Maps Played,Under 4.5,1.42,Over 4.5,2.74,Under 3.5,2.95,Over 3.5,1.37
G2 to win at least 1 map,Yes,1.11,No,5.96
FunPlus Phoenix to win at least 1 map,Yes,1.19,No,4.39
Winner Map 1,G2,1.72,FunPlus Phoenix,2.05
First Blood (Map 1),G2,1.82,FunPlus Phoenix,1.90
First to 5 Kills (Map 1),G2,1.85,FunPlus Phoenix,1.87
First to 10 Kills (Map 1),G2,1.86,FunPlus Phoenix,1.86
Total Kills (Map 1),Over 28.5,1.86,Under 28.5,1.86
Total Time (Map 1),Over 33:00,1.86,Under 33:00,1.86
Odd / Even Kills (Map 1),Odd,1.86,Even,1.86
Destroy First Tower (Map 1),G2,1.84,FunPlus Phoenix,1.84
Kill First Dragon (Map 1),G2,1.84,FunPlus Phoenix,1.84
Kill First Baron (Map 1),G2,1.75,FunPlus Phoenix,1.94
To kill Rift Herald (Map 1),G2,1.86,FunPlus Phoenix,1.86
First Elemental Dragon (Map 1),Infernal Dragon,3.33,Mountain Dragon,3.33,Ocean Dragon,3.33,Cloud Dragon,3.33
Most Kills #1 (Map 1),Doinb,1.90,Lwx,1.78
Most Kills #2 (Map 1),Caps,1.90,Perkz,1.78
Winner Map 2,G2,1.74,FunPlus Phoenix,2.02
First Blood (Map 2),G2,1.82,FunPlus Phoenix,1.90
First to 5 Kills (Map 2),G2,1.85,FunPlus Phoenix,1.87
First to 10 Kills (Map 2),G2,1.86,FunPlus Phoenix,1.86
Total Kills (Map 2),Over 28.5,1.86,Under 28.5,1.86
Total Time (Map 2),Over 33:00,1.86,Under 33:00,1.86
Odd / Even Kills (Map 2),Odd,1.86,Even,1.86
Destroy First Tower (Map 2),G2,1.84,FunPlus Phoenix,1.84
Kill First Dragon (Map 2),G2,1.84,FunPlus Phoenix,1.84
Kill First Baron (Map 2),G2,1.75,FunPlus Phoenix,1.94
To kill Rift Herald (Map 2),G2,1.86,FunPlus Phoenix,1.86
First Elemental Dragon (Map 2),Infernal Dragon,3.33,Mountain Dragon,3.33,Ocean Dragon,3.33,Cloud Dragon,3.33
Most Kills #1 (Map 2),Doinb,1.90,Lwx,1.78
Most Kills #2 (Map 2),Caps,1.90,Perkz,1.78
Winner Map 3,G2,1.77,FunPlus Phoenix,1.98
First Blood (Map 3),G2,1.82,FunPlus Phoenix,1.90
First to 5 Kills (Map 3),G2,1.85,FunPlus Phoenix,1.87
First to 10 Kills (Map 3),G2,1.86,FunPlus Phoenix,1.86
Total Kills (Map 3),Over 28.5,1.86,Under 28.5,1.86
Total Time (Map 3),Over 33:00,1.86,Under 33:00,1.86
Odd / Even Kills (Map 3),Odd,1.86,Even,1.86
Destroy First Tower (Map 3),G2,1.84,FunPlus Phoenix,1.84
Kill First Dragon (Map 3),G2,1.84,FunPlus Phoenix,1.84
Kill First Baron (Map 3),G2,1.75,FunPlus Phoenix,1.94
To kill Rift Herald (Map 3),G2,1.86,FunPlus Phoenix,1.86
First Elemental Dragon (Map 3),Infernal Dragon,3.33,Mountain Dragon,3.33,Ocean Dragon,3.33,Cloud Dragon,3.33
Most Kills #1 (Map 3),Doinb,1.90,Lwx,1.78
Most Kills #2 (Map 3),Caps,1.90,Perkz,1.78
Winner Map 4,G2,1.78,FunPlus Phoenix,1.97
First Blood (Map 4),G2,1.82,FunPlus Phoenix,1.90
First to 5 Kills (Map 4),G2,1.85,FunPlus Phoenix,1.87
First to 10 Kills (Map 4),G2,1.86,FunPlus Phoenix,1.86
Total Kills (Map 4),Over 28.5,1.86,Under 28.5,1.86
Total Time (Map 4),Over 33:00,1.86,Under 33:00,1.86
Odd / Even Kills (Map 4),Odd,1.86,Even,1.86
Destroy First Tower (Map 4),G2,1.84,FunPlus Phoenix,1.84
Kill First Dragon (Map 4),G2,1.84,FunPlus Phoenix,1.84
Kill First Baron (Map 4),G2,1.75,FunPlus Phoenix,1.94
To kill Rift Herald (Map 4),G2,1.86,FunPlus Phoenix,1.86
