League,Split,Date,Game,Blue Team,Red Team,First Blood,First Tower,First Dragon,First Inhibitor,First Baron,Winner,Loser
1,1,2019/01/16,1,skt,jag,jag,skt,skt,skt,,skt,jag
1,1,2019/01/16,2,jag,skt,jag,skt,skt,skt,skt,skt,jag
1,1,2019/01/16,1,dwg,gen,gen,gen,gen,dwg,dwg,dwg,gen
1,1,2019/01/16,2,gen,dwg,dwg,dwg,gen,dwg,dwg,dwg,gen
1,1,2019/01/17,1,kt,hle,kt,kt,kt,kt,kt,kt,hle
1,1,2019/01/17,2,hle,kt,kt,hle,hle,hle,hle,hle,kt
1,1,2019/01/17,3,kt,hle,kt,hle,hle,hle,,hle,kt
1,1,2019/01/17,1,kz,grf,kz,grf,grf,grf,grf,grf,kz
1,1,2019/01/17,2,grf,kz,kz,grf,kz,grf,grf,grf,kz
1,1,2019/01/18,1,gen,sb,sb,sb,sb,sb,sb,sb,gen
1,1,2019/01/18,2,sb,gen,gen,sb,sb,sb,sb,sb,gen
1,1,2019/01/18,1,af,skt,af,skt,skt,skt,skt,skt,af
1,1,2019/01/18,2,skt,af,skt,skt,skt,skt,skt,skt,af
1,1,2019/01/19,1,dwg,kt,kt,dwg,kt,dwg,,dwg,kt
1,1,2019/01/19,2,kt,dwg,kt,dwg,kt,dwg,dwg,dwg,kt
1,1,2019/01/19,1,grf,jag,grf,grf,grf,grf,grf,grf,jag
1,1,2019/01/19,2,jag,grf,grf,grf,jag,grf,grf,grf,jag
1,1,2019/01/20,1,kz,sb,sb,sb,sb,sb,sb,sb,kz
1,1,2019/01/20,2,sb,kz,sb,sb,kz,sb,sb,sb,kz
1,1,2019/01/20,1,af,hle,af,hle,af,hle,hle,hle,af
1,1,2019/01/20,2,hle,af,hle,hle,hle,hle,hle,hle,af
1,1,2019/01/23,1,kt,kz,kz,kz,kz,kt,kt,kz,kt
1,1,2019/01/23,2,kz,kt,kz,kz,kt,kz,kz,kz,kt
1,1,2019/01/23,1,hle,grf,grf,hle,hle,grf,grf,grf,hle
1,1,2019/01/23,2,grf,hle,grf,grf,grf,grf,grf,grf,hle
1,1,2019/01/24,1,sb,skt,skt,sb,sb,skt,sb,skt,sb
1,1,2019/01/24,2,skt,sb,skt,sb,sb,sb,sb,sb,skt
1,1,2019/01/24,3,sb,skt,sb,sb,sb,sb,,sb,skt
1,1,2019/01/24,1,gen,af,af,gen,af,af,af,af,gen
1,1,2019/01/24,2,af,gen,af,af,gen,gen,,gen,af
1,1,2019/01/24,3,gen,af,gen,af,af,af,af,af,gen
1,1,2019/01/25,1,kt,jag,jag,jag,jag,kt,kt,kt,jag
1,1,2019/01/25,2,jag,kt,jag,jag,kt,kt,kt,kt,jag
1,1,2019/01/25,1,dwg,grf,grf,dwg,dwg,grf,grf,grf,dwg
1,1,2019/01/25,2,grf,dwg,grf,grf,grf,grf,,grf,dwg
1,1,2019/01/26,1,kz,af,kz,kz,kz,kz,kz,kz,af
1,1,2019/01/26,2,af,kz,af,kz,af,kz,af,kz,af
1,1,2019/01/26,1,sb,hle,sb,sb,hle,sb,sb,sb,hle
1,1,2019/01/26,2,hle,sb,hle,hle,sb,sb,sb,sb,hle
1,1,2019/01/27,1,skt,dwg,skt,skt,skt,skt,skt,skt,dwg
1,1,2019/01/27,2,dwg,skt,skt,dwg,skt,dwg,dwg,dwg,skt
1,1,2019/01/27,3,skt,dwg,skt,skt,dwg,skt,,skt,dwg
1,1,2019/01/27,1,jag,gen,gen,gen,gen,gen,gen,gen,jag
1,1,2019/01/27,2,gen,jag,jag,gen,gen,gen,gen,jag,gen
1,1,2019/01/27,3,jag,gen,gen,gen,jag,gen,gen,gen,jag
1,1,2019/01/30,1,dwg,sb,sb,sb,sb,sb,sb,sb,dwg
1,1,2019/01/30,2,sb,dwg,sb,dwg,dwg,dwg,dwg,dwg,sb
1,1,2019/01/30,3,dwg,sb,dwg,sb,dwg,sb,sb,sb,dwg
1,1,2019/01/30,1,af,jag,af,jag,af,af,af,af,jag
1,1,2019/01/30,2,jag,af,af,af,af,af,af,af,jag
1,1,2019/01/31,1,grf,skt,grf,grf,skt,grf,skt,grf,skt
1,1,2019/01/31,2,skt,grf,grf,grf,grf,grf,grf,grf,skt
1,1,2019/01/31,1,gen,kt,kt,kt,kt,kt,kt,kt,gen
1,1,2019/01/31,2,kt,gen,gen,gen,gen,kt,gen,gen,kt
1,1,2019/01/31,3,gen,kt,gen,kt,kt,kt,gen,gen,kt
1,1,2019/02/01,1,kz,dwg,dwg,dwg,kz,dwg,kz,kz,dwg
1,1,2019/02/01,2,dwg,kz,dwg,kz,kz,kz,kz,kz,dwg
1,1,2019/02/01,1,jag,hle,jag,jag,jag,hle,hle,hle,jag
1,1,2019/02/01,2,hle,jag,hle,hle,jag,hle,hle,hle,jag
1,1,2019/02/02,1,af,kt,kt,kt,af,,kt,kt,af
1,1,2019/02/02,2,kt,af,af,kt,af,kt,kt,kt,af
1,1,2019/02/02,1,grf,sb,grf,sb,sb,grf,grf,grf,sb
1,1,2019/02/02,2,sb,grf,sb,sb,sb,sb,sb,sb,grf
1,1,2019/02/02,3,grf,sb,grf,grf,grf,grf,grf,grf,sb
1,1,2019/02/03,1,kz,gen,gen,gen,kz,kz,gen,kz,gen
1,1,2019/02/03,2,gen,kz,gen,gen,gen,gen,gen,gen,kz
1,1,2019/02/03,3,kz,gen,kz,gen,kz,gen,gen,kz,gen
1,1,2019/02/03,1,skt,hle,skt,skt,skt,skt,skt,skt,hle
1,1,2019/02/03,2,hle,skt,skt,skt,skt,skt,,skt,hle
1,1,2019/02/13,1,hle,gen,hle,hle,hle,hle,hle,hle,gen
1,1,2019/02/13,2,gen,hle,gen,hle,hle,hle,hle,hle,gen
1,1,2019/02/13,1,skt,kz,skt,kz,kz,kz,kz,kz,skt
1,1,2019/02/13,2,kz,skt,skt,skt,skt,skt,skt,skt,kz
1,1,2019/02/13,3,skt,kz,skt,skt,skt,skt,skt,skt,kz
1,1,2019/02/14,1,dwg,af,af,dwg,dwg,dwg,dwg,dwg,af
1,1,2019/02/14,2,af,dwg,dwg,dwg,dwg,dwg,dwg,dwg,af
1,1,2019/02/14,1,sb,jag,sb,sb,sb,sb,sb,sb,jag
1,1,2019/02/14,2,jag,sb,jag,jag,sb,sb,sb,sb,jag
1,1,2019/02/15,1,grf,kt,kt,grf,kt,grf,,grf,kt
1,1,2019/02/15,2,kt,grf,grf,grf,grf,grf,grf,grf,kt
1,1,2019/02/15,1,hle,kz,hle,kz,kz,hle,hle,hle,kz
1,1,2019/02/15,2,kz,hle,kz,kz,hle,hle,hle,hle,kz
1,1,2019/02/16,1,gen,skt,gen,gen,skt,gen,gen,gen,skt
1,1,2019/02/16,2,skt,gen,skt,skt,skt,skt,,skt,gen
1,1,2019/02/16,3,gen,skt,skt,skt,skt,skt,skt,skt,gen
1,1,2019/02/16,1,jag,dwg,jag,jag,dwg,jag,jag,dwg,jag
1,1,2019/02/16,2,dwg,jag,dwg,dwg,dwg,dwg,,dwg,jag
1,1,2019/02/17,1,grf,af,grf,grf,af,grf,,grf,af
1,1,2019/02/17,2,af,grf,grf,grf,grf,grf,grf,grf,af
1,1,2019/02/17,1,sb,kt,kt,sb,kt,sb,sb,sb,kt
1,1,2019/02/17,2,kt,sb,sb,sb,sb,,kt,kt,sb
1,1,2019/02/17,3,sb,kt,sb,sb,kt,sb,sb,sb,kt
1,1,2019/02/20,2,grf,gen,grf,grf,gen,grf,grf,grf,gen
1,1,2019/02/20,1,kt,skt,skt,skt,skt,skt,skt,skt,kt
1,1,2019/02/20,2,skt,kt,skt,skt,skt,skt,skt,skt,kt
1,1,2019/02/21,1,jag,kz,kz,kz,kz,kz,kz,kz,jag
1,1,2019/02/21,2,kz,jag,kz,kz,kz,kz,kz,kz,jag
1,1,2019/02/21,1,af,sb,af,sb,af,sb,sb,sb,af
1,1,2019/02/21,2,sb,af,af,sb,sb,sb,sb,af,sb
1,1,2019/02/21,3,af,sb,af,af,af,af,af,af,sb
1,1,2019/02/22,1,hle,dwg,dwg,hle,dwg,dwg,hle,dwg,hle
1,1,2019/02/22,2,dwg,hle,hle,dwg,dwg,dwg,,dwg,hle
1,1,2019/02/22,1,kt,grf,grf,grf,grf,,,grf,kt
1,1,2019/02/22,2,grf,kt,grf,grf,grf,grf,,grf,kt
1,1,2019/02/23,1,sb,kz,kz,kz,sb,kz,sb,kz,sb
1,1,2019/02/23,2,kz,sb,kz,kz,kz,kz,kz,kz,sb
1,1,2019/02/23,1,gen,jag,jag,jag,gen,gen,gen,gen,jag
1,1,2019/02/23,2,jag,gen,gen,jag,jag,gen,gen,gen,jag
1,1,2019/02/24,1,dwg,skt,dwg,skt,dwg,skt,skt,skt,dwg
1,1,2019/02/24,2,skt,dwg,skt,skt,dwg,dwg,dwg,dwg,skt
1,1,2019/02/24,3,dwg,skt,skt,skt,skt,dwg,dwg,dwg,skt
1,1,2019/02/24,1,hle,af,af,af,hle,af,af,af,hle
1,1,2019/02/24,2,af,hle,hle,af,hle,hle,hle,hle,af
1,1,2019/02/24,3,hle,af,hle,hle,hle,hle,hle,hle,af
1,1,2019/02/28,1,sb,af,af,af,af,sb,sb,sb,af
1,1,2019/02/28,2,af,sb,af,sb,sb,sb,sb,sb,af
1,1,2019/02/28,1,dwg,jag,jag,dwg,dwg,dwg,dwg,dwg,jag
1,1,2019/02/28,2,jag,dwg,dwg,dwg,dwg,dwg,dwg,dwg,jag
1,1,2019/03/01,1,kz,hle,hle,kz,kz,kz,kz,kz,hle
1,1,2019/03/01,2,hle,kz,hle,kz,hle,kz,hle,kz,hle
1,1,2019/03/01,1,skt,gen,gen,skt,skt,skt,,skt,gen
1,1,2019/03/01,2,gen,skt,gen,skt,gen,skt,skt,skt,gen
1,1,2019/03/02,1,af,dwg,dwg,af,af,af,af,af,dwg
1,1,2019/03/02,2,dwg,af,af,dwg,dwg,dwg,dwg,dwg,af
1,1,2019/03/02,3,af,dwg,af,af,dwg,dwg,dwg,dwg,af
1,1,2019/03/02,1,jag,sb,jag,sb,sb,sb,sb,sb,jag
1,1,2019/03/02,2,sb,jag,sb,sb,jag,sb,sb,sb,jag
1,1,2019/03/03,1,gen,hle,gen,gen,hle,gen,gen,gen,hle
1,1,2019/03/03,2,hle,gen,hle,gen,gen,hle,hle,hle,gen
1,1,2019/03/03,3,gen,hle,gen,hle,hle,,hle,hle,gen
1,1,2019/03/03,1,kz,skt,skt,skt,skt,skt,kz,skt,kz
1,1,2019/03/03,2,skt,kz,skt,kz,skt,skt,,skt,kz
1,1,2019/03/07,1,sb,dwg,sb,sb,sb,sb,sb,sb,dwg
1,1,2019/03/07,2,dwg,sb,sb,dwg,dwg,dwg,dwg,dwg,sb
1,1,2019/03/07,3,sb,dwg,sb,sb,sb,sb,dwg,sb,dwg
1,1,2019/03/07,1,jag,af,jag,jag,jag,jag,jag,jag,af
1,1,2019/03/07,2,af,jag,af,af,af,af,af,af,jag
1,1,2019/03/07,3,jag,af,jag,af,af,jag,jag,jag,af
1,1,2019/03/08,1,skt,grf,skt,skt,skt,skt,skt,skt,grf
1,1,2019/03/08,2,grf,skt,grf,grf,skt,,grf,grf,skt
1,1,2019/03/08,3,skt,grf,skt,grf,grf,skt,skt,grf,skt
1,1,2019/03/08,1,kt,gen,gen,kt,kt,gen,kt,gen,kt
1,1,2019/03/08,2,gen,kt,gen,kt,gen,kt,kt,kt,gen
1,1,2019/03/08,3,kt,gen,kt,kt,gen,kt,kt,kt,gen
1,1,2019/03/09,1,hle,jag,hle,hle,jag,hle,hle,hle,jag
1,1,2019/03/09,2,jag,hle,jag,jag,hle,hle,hle,hle,jag
1,1,2019/03/09,1,dwg,kz,kz,kz,kz,kz,kz,kz,dwg
1,1,2019/03/09,2,kz,dwg,kz,dwg,kz,kz,kz,kz,dwg
1,1,2019/03/10,1,kt,af,kt,af,af,af,af,af,kt
1,1,2019/03/10,2,af,kt,kt,af,af,af,af,af,kt
1,1,2019/03/10,1,sb,grf,sb,sb,grf,,grf,grf,sb
1,1,2019/03/10,2,grf,sb,grf,sb,sb,grf,grf,grf,sb
1,1,2019/03/14,1,grf,gen,grf,grf,grf,gen,gen,gen,grf
1,1,2019/03/14,2,gen,grf,grf,gen,grf,gen,grf,gen,grf
1,1,2019/03/14,1,skt,kt,skt,skt,kt,kt,kt,kt,skt
1,1,2019/03/14,2,kt,skt,skt,skt,skt,,skt,skt,kt
1,1,2019/03/14,3,skt,kt,skt,kt,kt,skt,skt,skt,kt
1,1,2019/03/15,1,kz,jag,kz,kz,kz,kz,kz,kz,jag
1,1,2019/03/15,2,jag,kz,kz,jag,kz,kz,kz,kz,jag
1,1,2019/03/15,1,dwg,hle,dwg,dwg,dwg,dwg,dwg,dwg,hle
1,1,2019/03/15,2,hle,dwg,hle,hle,dwg,,hle,hle,dwg
1,1,2019/03/15,3,dwg,hle,dwg,hle,dwg,dwg,dwg,dwg,hle
1,1,2019/03/16,1,af,grf,grf,af,af,af,af,af,grf
1,1,2019/03/16,2,grf,af,grf,af,grf,grf,grf,grf,af
1,1,2019/03/16,3,af,grf,grf,af,grf,af,grf,af,grf
1,1,2019/03/16,1,kt,sb,kt,sb,sb,sb,sb,sb,kt
1,1,2019/03/16,3,kt,sb,sb,sb,sb,sb,sb,sb,kt
1,1,2019/03/17,1,hle,skt,hle,hle,hle,hle,hle,hle,skt
1,1,2019/03/17,2,skt,hle,skt,skt,hle,skt,skt,skt,hle
1,1,2019/03/17,3,hle,skt,skt,hle,skt,skt,skt,skt,hle
1,1,2019/03/17,1,gen,kz,gen,kz,gen,kz,kz,kz,gen
1,1,2019/03/17,2,kz,gen,kz,kz,kz,kz,kz,kz,gen
1,1,2019/03/21,1,grf,hle,grf,grf,grf,grf,grf,grf,hle
1,1,2019/03/21,2,hle,grf,grf,grf,grf,grf,grf,grf,hle
1,1,2019/03/21,1,kz,kt,kz,kz,kt,kz,kz,kz,kt
1,1,2019/03/21,2,kt,kz,kt,kz,kz,kz,kz,kz,kt
1,1,2019/03/22,1,af,gen,af,af,af,gen,gen,gen,af
1,1,2019/03/22,2,gen,af,af,af,gen,gen,gen,gen,af
1,1,2019/03/22,1,skt,sb,sb,sb,sb,skt,skt,skt,sb
1,1,2019/03/22,2,sb,skt,skt,sb,sb,skt,skt,skt,sb
1,1,2019/03/23,1,jag,kt,jag,kt,jag,jag,kt,kt,jag
1,1,2019/03/23,2,kt,jag,jag,kt,jag,kt,kt,kt,jag
1,1,2019/03/23,1,grf,dwg,grf,grf,dwg,,grf,grf,dwg
1,1,2019/03/23,2,dwg,grf,grf,grf,grf,grf,grf,grf,dwg
1,1,2019/03/24,1,hle,sb,hle,hle,sb,sb,sb,sb,hle
1,1,2019/03/24,2,sb,hle,sb,sb,hle,sb,sb,sb,hle
1,1,2019/03/24,1,af,kz,af,af,af,af,af,af,kz
1,1,2019/03/24,2,kz,af,kz,kz,kz,kz,kz,kz,af
1,1,2019/03/24,3,af,kz,kz,kz,kz,kz,kz,kz,af
1,1,2019/03/28,1,jag,skt,skt,jag,skt,skt,skt,skt,jag
1,1,2019/03/28,2,skt,jag,jag,jag,skt,skt,jag,skt,jag
1,1,2019/03/28,1,gen,dwg,dwg,dwg,gen,dwg,dwg,dwg,gen
1,1,2019/03/28,2,dwg,gen,dwg,dwg,dwg,dwg,dwg,dwg,gen
1,1,2019/03/29,1,hle,kt,hle,hle,hle,hle,hle,hle,kt
1,1,2019/03/29,2,kt,hle,kt,hle,hle,hle,hle,hle,kt
1,1,2019/03/29,1,grf,kz,grf,grf,kz,kz,kz,kz,grf
1,1,2019/03/29,2,kz,grf,kz,grf,kz,kz,kz,kz,grf
1,1,2019/03/30,1,sb,gen,sb,sb,sb,sb,sb,sb,gen
1,1,2019/03/30,2,gen,sb,gen,sb,sb,gen,gen,gen,sb
1,1,2019/03/30,3,sb,gen,gen,gen,sb,,sb,sb,gen
1,1,2019/03/30,1,skt,af,skt,skt,skt,skt,skt,skt,af
1,1,2019/03/30,2,af,skt,skt,af,af,af,skt,skt,af
1,1,2019/03/31,1,jag,grf,grf,grf,jag,grf,grf,grf,jag
1,1,2019/03/31,2,grf,jag,grf,grf,grf,grf,grf,grf,jag
1,1,2019/03/31,1,kt,dwg,kt,dwg,dwg,dwg,dwg,dwg,kt
1,1,2019/03/31,2,dwg,kt,kt,dwg,dwg,dwg,dwg,dwg,kt
