League,Split,Date,Game,Blue Team,Red Team,First Blood,First Tower,First Dragon,First Inhibitor,First Baron,Winner,Loser
2,2,2019/01/18,1,fnc,sk,sk,sk,sk,sk,sk,sk,fnc
2,2,2019/01/18,1,spy,xl,spy,xl,xl,spy,spy,spy,xl
2,2,2019/01/18,1,vit,s04,s04,s04,s04,s04,s04,s04,vit
2,2,2019/01/18,1,rge,msf,msf,msf,msf,msf,msf,msf,rge
2,2,2019/01/18,1,og,g2,og,g2,g2,g2,g2,g2,og
2,2,2019/01/19,1,g2,s04,g2,g2,g2,g2,g2,s04,g2
2,2,2019/01/19,1,xl,rge,rge,xl,xl,xl,xl,rge,xl
2,2,2019/01/19,1,spy,vit,spy,spy,vit,vit,vit,vit,spy
2,2,2019/01/19,1,msf,sk,msf,msf,msf,msf,,sk,msf
2,2,2019/01/19,1,fnc,og,fnc,og,og,og,og,og,fnc
2,2,2019/01/25,1,vit,fnc,fnc,vit,fnc,vit,vit,fnc,vit
2,2,2019/01/25,1,rge,spy,spy,spy,spy,spy,spy,spy,rge
2,2,2019/01/25,1,g2,xl,g2,g2,xl,g2,xl,xl,g2
2,2,2019/01/25,1,s04,sk,s04,s04,sk,s04,s04,sk,s04
2,2,2019/01/25,1,og,msf,msf,msf,msf,msf,msf,msf,og
2,2,2019/01/26,1,s04,fnc,s04,s04,s04,s04,s04,s04,fnc
2,2,2019/01/26,1,sk,xl,sk,sk,sk,sk,sk,sk,xl
2,2,2019/01/26,1,g2,rge,g2,g2,g2,g2,,g2,rge
2,2,2019/01/26,1,spy,og,spy,spy,og,spy,spy,spy,og
2,2,2019/01/26,1,msf,vit,msf,msf,vit,vit,vit,vit,msf
2,2,2019/02/01,1,sk,g2,sk,g2,g2,g2,g2,g2,sk
2,2,2019/02/01,1,spy,s04,spy,s04,s04,s04,s04,s04,spy
2,2,2019/02/01,1,fnc,rge,rge,rge,rge,fnc,fnc,fnc,rge
2,2,2019/02/01,1,xl,msf,xl,xl,msf,xl,xl,xl,msf
2,2,2019/02/01,1,vit,og,og,og,og,vit,vit,og,vit
2,2,2019/02/02,1,g2,spy,spy,spy,spy,g2,spy,spy,g2
2,2,2019/02/02,1,xl,s04,s04,s04,s04,s04,s04,s04,xl
2,2,2019/02/02,1,sk,og,sk,sk,sk,og,og,og,sk
2,2,2019/02/02,1,rge,vit,rge,vit,vit,rge,rge,vit,rge
2,2,2019/02/02,1,msf,fnc,msf,msf,msf,msf,msf,fnc,msf
2,2,2019/02/08,1,s04,msf,msf,msf,msf,s04,s04,msf,s04
2,2,2019/02/08,1,sk,spy,spy,sk,sk,sk,sk,spy,sk
2,2,2019/02/08,1,og,rge,og,og,og,og,og,rge,og
2,2,2019/02/08,1,fnc,xl,fnc,fnc,fnc,fnc,fnc,xl,fnc
2,2,2019/02/08,1,g2,vit,vit,vit,vit,g2,g2,vit,g2
2,2,2019/02/09,1,s04,og,og,s04,og,og,og,og,s04
2,2,2019/02/09,1,sk,rge,sk,sk,rge,sk,sk,sk,rge
2,2,2019/02/09,1,spy,msf,spy,msf,spy,spy,msf,spy,msf
2,2,2019/02/09,1,vit,xl,xl,xl,xl,vit,vit,vit,xl
2,2,2019/02/09,1,g2,fnc,g2,g2,g2,g2,,g2,fnc
2,2,2019/02/15,1,fnc,spy,fnc,fnc,fnc,fnc,fnc,spy,fnc
2,2,2019/02/15,1,og,xl,og,og,xl,og,og,xl,og
2,2,2019/02/15,1,vit,sk,vit,sk,sk,sk,sk,sk,vit
2,2,2019/02/15,1,rge,s04,s04,s04,s04,s04,s04,s04,rge
2,2,2019/02/15,1,msf,g2,g2,g2,g2,g2,g2,g2,msf
2,2,2019/02/16,1,sk,fnc,fnc,fnc,fnc,sk,sk,sk,fnc
2,2,2019/02/16,1,spy,xl,spy,spy,spy,spy,spy,spy,xl
2,2,2019/02/16,1,s04,vit,vit,vit,vit,vit,vit,vit,s04
2,2,2019/02/16,1,msf,rge,rge,msf,rge,rge,rge,rge,msf
2,2,2019/02/16,1,g2,og,og,g2,og,og,og,og,g2
2,2,2019/02/22,1,g2,s04,g2,g2,s04,g2,,s04,g2
2,2,2019/02/22,1,xl,rge,xl,xl,rge,rge,rge,rge,xl
2,2,2019/02/22,1,spy,vit,spy,vit,spy,vit,vit,vit,spy
2,2,2019/02/22,1,sk,msf,msf,msf,msf,msf,msf,msf,sk
2,2,2019/02/22,1,fnc,og,fnc,fnc,og,fnc,og,og,fnc
2,2,2019/02/23,1,xl,g2,xl,xl,xl,g2,g2,g2,xl
2,2,2019/02/23,1,sk,s04,sk,sk,s04,sk,s04,sk,s04
2,2,2019/02/23,1,og,msf,msf,og,msf,og,msf,msf,og
2,2,2019/02/23,1,rge,spy,spy,rge,rge,spy,spy,spy,rge
2,2,2019/02/23,1,fnc,vit,vit,fnc,fnc,fnc,fnc,fnc,vit
2,2,2019/03/01,1,og,spy,og,og,og,og,og,og,spy
2,2,2019/03/01,1,sk,xl,xl,xl,xl,,xl,xl,sk
2,2,2019/03/01,1,vit,msf,vit,vit,vit,vit,vit,vit,msf
2,2,2019/03/01,1,g2,rge,g2,g2,g2,g2,g2,g2,rge
2,2,2019/03/01,1,fnc,s04,fnc,fnc,fnc,fnc,fnc,fnc,s04
2,2,2019/03/02,1,g2,sk,g2,sk,g2,g2,g2,sk,g2
2,2,2019/03/02,1,s04,spy,spy,s04,s04,spy,spy,spy,s04
2,2,2019/03/02,1,fnc,rge,fnc,fnc,fnc,fnc,fnc,fnc,rge
2,2,2019/03/02,1,msf,xl,xl,msf,msf,xl,xl,msf,xl
2,2,2019/03/02,1,og,vit,og,vit,og,og,og,og,vit
2,2,2019/03/08,1,g2,spy,spy,spy,g2,spy,spy,spy,g2
2,2,2019/03/08,1,s04,xl,xl,xl,xl,xl,xl,xl,s04
2,2,2019/03/08,1,sk,og,sk,og,og,og,,og,sk
2,2,2019/03/08,1,vit,rge,vit,vit,vit,vit,,vit,rge
2,2,2019/03/08,1,fnc,msf,fnc,msf,msf,fnc,fnc,fnc,msf
2,2,2019/03/09,1,msf,s04,s04,s04,msf,s04,s04,s04,msf
2,2,2019/03/09,1,xl,fnc,fnc,fnc,fnc,fnc,fnc,fnc,xl
2,2,2019/03/09,1,rge,og,og,og,og,og,,og,rge
2,2,2019/03/09,1,vit,g2,vit,vit,vit,g2,g2,g2,vit
2,2,2019/03/15,1,msf,spy,msf,msf,msf,msf,spy,spy,msf
2,2,2019/03/15,1,sk,rge,rge,sk,rge,sk,sk,sk,rge
2,2,2019/03/15,1,fnc,g2,fnc,fnc,fnc,fnc,fnc,fnc,g2
2,2,2019/03/15,1,xl,vit,xl,xl,xl,xl,xl,xl,vit
2,2,2019/03/15,1,s04,og,og,s04,og,og,og,og,s04
2,2,2019/03/16,1,g2,msf,g2,msf,msf,msf,msf,msf,g2
2,2,2019/03/16,1,rge,s04,s04,rge,s04,s04,s04,s04,rge
2,2,2019/03/16,1,vit,sk,sk,sk,sk,sk,,sk,vit
2,2,2019/03/16,1,xl,og,og,og,og,og,og,og,xl
2,2,2019/03/16,1,fnc,spy,fnc,fnc,spy,fnc,fnc,fnc,spy
2,2,2019/03/16,1,sk,s04,s04,sk,sk,sk,sk,sk,s04
