League,Split,Date,Game,Blue Team,Red Team,First Blood,First Tower,First Dragon,First Inhibitor,First Baron,Winner,Loser
4,4,2019/01/22,1,sly,go,go,go,sly,go,go,go,sly
4,4,2019/01/22,1,vit.b,msf.p,vit.b,vit.b,msf.p,msf.p,msf.p,vit.b,msf.p
4,4,2019/01/22,1,aaa,mces,aaa,aaa,mces,mces,mces,mces,aaa
4,4,2019/01/22,1,ldlc,rog,rog,ldlc,ldlc,ldlc,ldlc,ldlc,rog
4,4,2019/01/23,1,vit.b,go,go,go,go,go,go,go,vit.b
4,4,2019/01/23,1,mces,sly,mces,mces,mces,mces,mces,mces,sly
4,4,2019/01/23,1,msf.p,rog,rog,msf.p,msf.p,msf.p,rog,msf.p,rog
4,4,2019/01/23,1,ldlc,aaa,ldlc,ldlc,ldlc,ldlc,ldlc,ldlc,aaa
4,4,2019/01/29,1,go,mces,mces,go,mces,go,mces,go,mces
4,4,2019/01/29,1,vit.b,rog,rog,rog,vit.b,vit.b,vit.b,vit.b,rog
4,4,2019/01/29,1,ldlc,sly,ldlc,ldlc,ldlc,ldlc,,ldlc,sly
4,4,2019/01/29,1,aaa,msf.p,aaa,aaa,aaa,aaa,aaa,aaa,msf.p
4,4,2019/01/30,1,go,rog,rog,go,go,go,go,go,rog
4,4,2019/01/30,1,ldlc,mces,mces,ldlc,mces,ldlc,ldlc,ldlc,mces
4,4,2019/01/30,1,aaa,vit.b,aaa,aaa,vit.b,aaa,aaa,aaa,vit.b
4,4,2019/01/30,1,msf.p,sly,msf.p,msf.p,msf.p,msf.p,msf.p,msf.p,sly
4,4,2019/02/05,1,go,ldlc,ldlc,go,ldlc,ldlc,ldlc,ldlc,go
4,4,2019/02/05,1,rog,aaa,aaa,rog,rog,,aaa,rog,aaa
4,4,2019/02/05,1,msf.p,mces,mces,mces,msf.p,msf.p,msf.p,msf.p,mces
4,4,2019/02/05,1,vit.b,sly,sly,vit.b,vit.b,vit.b,vit.b,vit.b,sly
4,4,2019/02/06,1,aaa,go,go,aaa,aaa,aaa,aaa,aaa,go
4,4,2019/02/06,1,msf.p,ldlc,ldlc,ldlc,ldlc,ldlc,ldlc,ldlc,msf.p
4,4,2019/02/06,1,rog,sly,rog,rog,rog,rog,rog,rog,sly
4,4,2019/02/06,1,vit.b,mces,vit.b,vit.b,vit.b,vit.b,vit.b,vit.b,mces
4,4,2019/02/12,1,go,msf.p,go,msf.p,go,msf.p,msf.p,msf.p,go
4,4,2019/02/12,1,sly,aaa,aaa,aaa,sly,sly,sly,sly,aaa
4,4,2019/02/12,1,vit.b,ldlc,vit.b,vit.b,vit.b,vit.b,vit.b,ldlc,vit.b
4,4,2019/02/26,1,sly,go,go,go,sly,go,go,go,sly
4,4,2019/02/26,1,vit.b,msf.p,vit.b,vit.b,msf.p,vit.b,msf.p,msf.p,vit.b
4,4,2019/02/26,1,aaa,mces,aaa,aaa,aaa,aaa,aaa,aaa,mces
4,4,2019/02/26,1,rog,ldlc,ldlc,ldlc,ldlc,ldlc,ldlc,ldlc,rog
4,4,2019/02/27,1,vit.b,go,go,vit.b,go,go,go,go,vit.b
4,4,2019/02/27,1,mces,sly,mces,mces,sly,sly,sly,sly,mces
4,4,2019/02/27,1,rog,msf.p,rog,msf.p,rog,rog,rog,rog,msf.p
4,4,2019/02/27,1,aaa,ldlc,aaa,aaa,ldlc,,ldlc,ldlc,aaa
4,4,2019/03/05,1,go,mces,go,go,mces,,go,go,mces
4,4,2019/03/05,1,vit.b,rog,vit.b,vit.b,rog,rog,rog,rog,vit.b
4,4,2019/03/05,1,sly,ldlc,sly,ldlc,ldlc,ldlc,ldlc,ldlc,sly
4,4,2019/03/05,1,msf.p,aaa,aaa,msf.p,msf.p,msf.p,aaa,msf.p,aaa
4,4,2019/03/06,1,go,rog,rog,go,rog,go,go,rog,go
4,4,2019/03/06,1,ldlc,mces,mces,mces,mces,mces,mces,mces,ldlc
4,4,2019/03/06,1,vit.b,aaa,vit.b,vit.b,aaa,aaa,aaa,aaa,vit.b
4,4,2019/03/06,1,sly,msf.p,msf.p,msf.p,msf.p,msf.p,msf.p,msf.p,sly
4,4,2019/03/12,1,go,ldlc,ldlc,ldlc,ldlc,go,go,ldlc,go
4,4,2019/03/12,1,aaa,rog,aaa,rog,aaa,rog,rog,rog,aaa
4,4,2019/03/12,1,mces,msf.p,msf.p,msf.p,msf.p,msf.p,msf.p,msf.p,mces
4,4,2019/03/12,1,vit.b,sly,sly,vit.b,vit.b,vit.b,vit.b,vit.b,sly
4,4,2019/03/13,1,aaa,go,go,go,go,go,go,go,aaa
4,4,2019/03/13,1,ldlc,msf.p,msf.p,ldlc,ldlc,ldlc,ldlc,ldlc,msf.p
4,4,2019/03/13,1,sly,rog,rog,rog,rog,rog,rog,rog,sly
4,4,2019/03/19,1,msf.p,go,msf.p,msf.p,msf.p,go,go,go,msf.p
4,4,2019/03/19,1,sly,aaa,aaa,aaa,aaa,aaa,aaa,aaa,sly
4,4,2019/03/19,1,ldlc,vit.b,vit.b,vit.b,vit.b,vit.b,vit.b,vit.b,ldlc
4,4,2019/03/19,1,mces,rog,mces,rog,rog,rog,rog,rog,mces
4,4,2019/03/20,1,go,rog,go,go,rog,go,go,go,rog
4,4,2019/03/20,2,rog,go,go,go,rog,go,go,go,rog
