League,Split,Date,Game,Blue Team,Red Team,First Blood,First Tower,First Dragon,First Inhibitor,First Baron,Winner,Loser
5,5,2019/01/30,1,g2h,svp,svp,svp,svp,svp,svp,svp,g2h
5,5,2019/01/30,1,s2v,pgm,pgm,s2v,s2v,pgm,pgm,pgm,s2v
5,5,2019/01/30,1,mrs,ogb,ogb,ogb,ogb,ogb,ogb,ogb,mrs
5,5,2019/01/30,1,x6,emz,x6,emz,emz,x6,emz,emz,x6
5,5,2019/01/30,1,mad,gia,mad,mad,mad,mad,gia,mad,gia
5,5,2019/02/04,1,gia,x6,gia,x6,gia,x6,x6,x6,gia
5,5,2019/02/04,1,s2v,mrs,mrs,s2v,s2v,s2v,s2v,s2v,mrs
5,5,2019/02/04,1,emz,g2h,emz,emz,g2h,g2h,g2h,g2h,emz
5,5,2019/02/04,1,pgm,svp,pgm,pgm,pgm,pgm,pgm,pgm,svp
5,5,2019/02/04,1,ogb,mad,mad,ogb,ogb,mad,mad,mad,ogb
5,5,2019/02/06,1,mad,s2v,mad,mad,s2v,s2v,s2v,s2v,mad
5,5,2019/02/06,1,svp,emz,emz,svp,svp,svp,svp,svp,emz
5,5,2019/02/06,1,x6,ogb,ogb,ogb,ogb,ogb,,ogb,x6
5,5,2019/02/06,1,mrs,pgm,pgm,mrs,pgm,mrs,mrs,mrs,pgm
5,5,2019/02/06,1,g2h,gia,g2h,g2h,gia,g2h,gia,g2h,gia
5,5,2019/02/07,1,emz,gia,gia,gia,gia,gia,gia,gia,emz
5,5,2019/02/07,1,s2v,x6,x6,x6,s2v,s2v,s2v,s2v,x6
5,5,2019/02/07,1,pgm,mad,mad,mad,pgm,mad,mad,mad,pgm
5,5,2019/02/07,1,ogb,g2h,g2h,g2h,g2h,ogb,ogb,ogb,g2h
5,5,2019/02/07,1,mrs,svp,mrs,mrs,mrs,mrs,mrs,mrs,svp
5,5,2019/02/11,1,ogb,emz,ogb,ogb,ogb,ogb,ogb,ogb,emz
5,5,2019/02/11,1,x6,pgm,x6,pgm,x6,pgm,pgm,pgm,x6
5,5,2019/02/11,1,g2h,s2v,g2h,g2h,g2h,g2h,g2h,g2h,s2v
5,5,2019/02/11,1,gia,svp,gia,gia,gia,gia,gia,gia,svp
5,5,2019/02/11,1,mad,mrs,mad,mrs,mad,mad,mad,mad,mrs
5,5,2019/02/13,1,x6,mrs,x6,mrs,mrs,mrs,mrs,mrs,x6
5,5,2019/02/13,1,pgm,g2h,pgm,pgm,g2h,g2h,g2h,g2h,pgm
5,5,2019/02/13,1,svp,mad,svp,svp,mad,svp,svp,mad,svp
5,5,2019/02/13,1,emz,s2v,emz,s2v,s2v,s2v,s2v,s2v,emz
5,5,2019/02/13,1,gia,ogb,gia,gia,gia,gia,ogb,gia,ogb
5,5,2019/02/18,1,ogb,svp,svp,ogb,svp,svp,svp,svp,ogb
5,5,2019/02/18,1,mrs,g2h,mrs,mrs,mrs,mrs,mrs,mrs,g2h
5,5,2019/02/18,1,mad,x6,mad,mad,mad,mad,mad,mad,x6
5,5,2019/02/18,1,emz,pgm,pgm,emz,pgm,pgm,emz,pgm,emz
5,5,2019/02/18,1,s2v,gia,s2v,s2v,s2v,s2v,s2v,s2v,gia
5,5,2019/02/20,1,pgm,gia,pgm,pgm,gia,,gia,gia,pgm
5,5,2019/02/20,1,g2h,mad,g2h,g2h,mad,g2h,g2h,g2h,mad
5,5,2019/02/20,1,svp,x6,x6,x6,x6,svp,svp,svp,x6
5,5,2019/02/20,1,mrs,emz,mrs,mrs,mrs,mrs,mrs,mrs,emz
5,5,2019/02/20,1,ogb,s2v,ogb,s2v,s2v,ogb,s2v,ogb,s2v
5,5,2019/02/21,1,s2v,svp,s2v,s2v,s2v,svp,svp,svp,s2v
5,5,2019/02/21,1,mad,emz,mad,mad,mad,,mad,emz,mad
5,5,2019/02/21,1,pgm,ogb,ogb,ogb,pgm,ogb,ogb,ogb,pgm
5,5,2019/02/21,1,x6,g2h,x6,x6,g2h,g2h,g2h,x6,g2h
5,5,2019/02/21,1,gia,mrs,gia,gia,gia,gia,gia,gia,mrs
5,5,2019/02/25,1,ogb,mrs,mrs,ogb,mrs,mrs,mrs,mrs,ogb
5,5,2019/02/25,1,emz,x6,x6,emz,x6,x6,x6,x6,emz
5,5,2019/02/25,1,g2h,svp,g2h,g2h,svp,g2h,g2h,g2h,svp
5,5,2019/02/25,1,pgm,s2v,s2v,s2v,pgm,pgm,s2v,pgm,s2v
5,5,2019/02/25,1,gia,mad,mad,mad,gia,gia,gia,gia,mad
5,5,2019/02/27,1,g2h,emz,g2h,emz,g2h,g2h,g2h,g2h,emz
5,5,2019/02/27,1,mrs,s2v,mrs,mrs,mrs,mrs,mrs,mrs,s2v
5,5,2019/02/27,1,svp,pgm,svp,pgm,pgm,pgm,pgm,pgm,svp
5,5,2019/02/27,1,x6,gia,x6,x6,x6,x6,x6,x6,gia
5,5,2019/02/27,1,mad,ogb,mad,mad,mad,mad,mad,mad,ogb
5,5,2019/03/04,1,pgm,mrs,mrs,mrs,mrs,mrs,mrs,mrs,pgm
5,5,2019/03/04,1,ogb,x6,ogb,x6,ogb,ogb,ogb,ogb,x6
5,5,2019/03/04,1,s2v,mad,s2v,s2v,s2v,s2v,s2v,s2v,mad
5,5,2019/03/04,1,emz,svp,svp,svp,svp,svp,svp,svp,emz
5,5,2019/03/04,1,gia,g2h,gia,gia,gia,gia,gia,gia,g2h
