League,Split,Date,Game,Blue Team,Red Team,First Blood,First Tower,First Dragon,First Inhibitor,First Baron,Winner,Loser
3,3,2019/01/18,1,lgc,grv,lgc,grv,grv,,grv,grv,lgc
3,3,2019/01/18,1,mmm,bmr,bmr,bmr,bmr,bmr,bmr,bmr,mmm
3,3,2019/01/18,1,av,ord,av,av,av,av,av,av,ord
3,3,2019/01/18,1,dw,chf,chf,chf,chf,chf,chf,chf,dw
3,3,2019/01/19,1,ord,bmr,ord,ord,ord,bmr,ord,bmr,ord
3,3,2019/01/19,1,lgc,dw,dw,lgc,lgc,lgc,lgc,lgc,dw
3,3,2019/01/19,1,mmm,grv,mmm,mmm,mmm,mmm,mmm,mmm,grv
3,3,2019/01/19,1,av,chf,av,av,chf,chf,chf,chf,av
3,3,2019/01/25,1,grv,dw,grv,grv,dw,grv,dw,grv,dw
3,3,2019/01/25,1,bmr,lgc,bmr,bmr,bmr,bmr,bmr,bmr,lgc
3,3,2019/01/25,1,chf,ord,ord,chf,chf,ord,ord,ord,chf
3,3,2019/01/26,1,ord,grv,ord,ord,grv,ord,ord,ord,grv
3,3,2019/01/26,1,bmr,chf,chf,chf,chf,chf,chf,chf,bmr
3,3,2019/01/26,1,mmm,lgc,mmm,mmm,mmm,mmm,mmm,mmm,lgc
3,3,2019/01/26,1,av,dw,dw,av,dw,av,av,av,dw
3,3,2019/02/01,1,mmm,dw,mmm,mmm,dw,mmm,mmm,dw,mmm
3,3,2019/02/01,1,grv,chf,chf,chf,chf,chf,chf,chf,grv
3,3,2019/02/01,1,bmr,av,bmr,bmr,av,bmr,,bmr,av
3,3,2019/02/01,1,ord,lgc,lgc,ord,ord,ord,ord,ord,lgc
3,3,2019/02/02,1,chf,mmm,mmm,mmm,chf,chf,chf,chf,mmm
3,3,2019/02/02,1,bmr,grv,grv,grv,grv,bmr,bmr,bmr,grv
3,3,2019/02/02,1,dw,ord,dw,ord,ord,dw,ord,ord,dw
3,3,2019/02/02,1,lgc,av,av,av,av,av,av,av,lgc
3,3,2019/02/08,1,chf,lgc,chf,chf,chf,chf,lgc,chf,lgc
3,3,2019/02/08,1,dw,bmr,bmr,bmr,bmr,bmr,bmr,bmr,dw
3,3,2019/02/08,1,ord,mmm,ord,ord,mmm,ord,ord,ord,mmm
3,3,2019/02/08,1,grv,av,av,av,av,av,av,av,grv
3,3,2019/02/09,1,grv,ord,grv,ord,ord,grv,grv,grv,ord
3,3,2019/02/09,1,av,bmr,bmr,av,bmr,bmr,bmr,bmr,av
3,3,2019/02/09,1,lgc,mmm,mmm,mmm,mmm,mmm,mmm,mmm,lgc
3,3,2019/02/09,1,chf,dw,dw,dw,chf,chf,chf,chf,dw
3,3,2019/02/15,1,dw,grv,grv,grv,dw,grv,grv,grv,dw
3,3,2019/02/15,1,av,ord,av,av,av,av,ord,av,ord
3,3,2019/02/15,1,lgc,bmr,bmr,bmr,bmr,bmr,bmr,bmr,lgc
3,3,2019/02/15,1,mmm,chf,chf,mmm,mmm,mmm,mmm,mmm,chf
3,3,2019/02/16,1,dw,mmm,mmm,mmm,mmm,mmm,mmm,mmm,dw
3,3,2019/02/16,1,chf,bmr,bmr,bmr,chf,bmr,bmr,bmr,chf
3,3,2019/02/16,1,lgc,ord,ord,ord,ord,ord,ord,lgc,ord
3,3,2019/02/16,1,av,grv,av,grv,grv,grv,grv,grv,av
3,3,2019/02/22,1,bmr,dw,bmr,bmr,dw,bmr,bmr,bmr,dw
3,3,2019/02/22,1,ord,mmm,mmm,mmm,ord,mmm,mmm,mmm,ord
3,3,2019/02/22,1,chf,grv,chf,chf,chf,chf,grv,chf,grv
3,3,2019/02/22,1,av,lgc,lgc,av,av,av,lgc,av,lgc
3,3,2019/02/23,1,bmr,ord,ord,ord,bmr,bmr,bmr,bmr,ord
3,3,2019/02/23,1,grv,mmm,grv,mmm,mmm,,mmm,mmm,grv
3,3,2019/02/23,1,chf,av,chf,chf,chf,av,av,chf,av
3,3,2019/02/23,1,dw,lgc,dw,dw,lgc,lgc,lgc,lgc,dw
3,3,2019/03/01,1,bmr,mmm,bmr,bmr,mmm,bmr,bmr,bmr,mmm
3,3,2019/03/01,1,ord,chf,ord,ord,ord,chf,chf,chf,ord
3,3,2019/03/01,1,grv,lgc,grv,grv,,lgc,grv,grv,lgc
3,3,2019/03/01,1,dw,av,dw,dw,av,dw,dw,av,dw
3,3,2019/03/02,1,grv,bmr,grv,bmr,bmr,,bmr,bmr,grv
3,3,2019/03/02,1,ord,dw,ord,dw,ord,ord,ord,ord,dw
3,3,2019/03/02,1,av,mmm,av,mmm,av,av,av,av,mmm
3,3,2019/03/02,1,lgc,chf,chf,chf,chf,chf,chf,chf,lgc
3,3,2019/03/08,1,grv,av,grv,grv,av,grv,grv,grv,av
3,3,2019/03/08,1,bmr,lgc,bmr,bmr,bmr,bmr,bmr,bmr,lgc
3,3,2019/03/08,1,mmm,dw,mmm,mmm,mmm,mmm,mmm,mmm,dw
3,3,2019/03/08,1,chf,ord,chf,chf,chf,chf,chf,chf,ord
3,3,2019/03/09,1,mmm,av,mmm,mmm,mmm,mmm,mmm,mmm,av
3,3,2019/03/09,1,ord,lgc,ord,ord,ord,ord,ord,ord,lgc
3,3,2019/03/09,1,bmr,chf,bmr,chf,chf,chf,chf,chf,bmr
3,3,2019/03/09,1,grv,dw,dw,grv,dw,grv,grv,grv,dw
3,3,2019/03/15,1,ord,bmr,bmr,bmr,bmr,bmr,bmr,bmr,ord
3,3,2019/03/15,1,mmm,grv,grv,mmm,grv,grv,grv,grv,mmm
3,3,2019/03/15,1,av,dw,dw,av,av,av,av,av,dw
3,3,2019/03/15,1,chf,lgc,lgc,chf,chf,chf,chf,chf,lgc
3,3,2019/03/16,1,dw,bmr,bmr,bmr,bmr,bmr,bmr,bmr,dw
3,3,2019/03/16,1,chf,mmm,mmm,chf,chf,chf,chf,chf,mmm
3,3,2019/03/16,1,av,ord,av,av,av,av,av,av,ord
3,3,2019/03/16,1,lgc,grv,grv,lgc,lgc,lgc,lgc,lgc,grv
3,3,2019/03/22,1,av,chf,av,av,chf,chf,chf,chf,av
3,3,2019/03/22,1,mmm,lgc,mmm,mmm,lgc,lgc,mmm,mmm,lgc
3,3,2019/03/22,1,bmr,av,av,bmr,bmr,bmr,bmr,bmr,av
3,3,2019/03/22,1,ord,mmm,ord,mmm,mmm,mmm,mmm,mmm,ord
3,3,2019/03/22,1,bmr,grv,grv,bmr,bmr,bmr,bmr,bmr,grv
3,3,2019/03/22,1,dw,ord,ord,ord,ord,ord,ord,ord,dw
3,3,2019/03/23,1,mmm,bmr,bmr,bmr,mmm,,bmr,bmr,mmm
3,3,2019/03/23,1,ord,grv,grv,ord,grv,ord,ord,ord,grv
3,3,2019/03/23,1,lgc,dw,lgc,lgc,lgc,lgc,dw,lgc,dw
3,3,2019/03/23,1,grv,chf,chf,chf,chf,chf,chf,chf,grv
3,3,2019/03/23,1,lgc,av,lgc,av,lgc,av,av,av,lgc
3,3,2019/03/23,1,dw,chf,dw,chf,chf,chf,chf,chf,dw
