League,Split,Date,Game,Blue Team,Red Team,First Blood,First Tower,First Dragon,First Inhibitor,First Baron,Winner,Loser
3,3,2020/07/03,1,xl,vit,xl,xl,vit,xl,xl,xl,vit
3,3,2020/07/03,1,s04,mad,s04,s04,s04,mad,mad,mad,s04
3,3,2020/07/03,1,fnc,sk,fnc,fnc,sk,fnc,fnc,fnc,sk
3,3,2020/07/03,1,rge,og,og,rge,og,rge,rge,rge,og
3,3,2020/07/03,1,g2,msf,g2,g2,g2,g2,g2,g2,msf
3,3,2020/07/04,1,rge,sk,rge,rge,rge,rge,rge,rge,sk
3,3,2020/07/04,1,vit,og,vit,vit,og,og,vit,vit,og
3,3,2020/07/04,1,fnc,s04,s04,fnc,fnc,s04,s04,s04,fnc
3,3,2020/07/04,1,g2,xl,g2,xl,g2,xl,xl,xl,g2
3,3,2020/07/04,1,msf,mad,msf,mad,msf,msf,msf,msf,mad
