League,Split,Date,Game,Blue Team,Red Team,First Blood,First Tower,First Dragon,First Inhibitor,First Baron,Winner,Loser
6,6,2019/08/02,1,mad,hka,mad,mad,hka,hka,hka,hka,mad
6,6,2019/08/02,2,hka,mad,mad,hka,hka,hka,hka,hka,mad
6,6,2019/08/02,1,jt,alf,alf,jt,jt,jt,jt,jt,alf
6,6,2019/08/02,2,jt,alf,jt,jt,jt,jt,jt,jt,alf
6,6,2019/08/03,1,jt,hka,jt,jt,hka,jt,jt,jt,hka
6,6,2019/08/03,2,hka,jt,hka,jt,jt,jt,jt,hka,jt
6,6,2019/08/03,3,jt,hka,hka,jt,jt,jt,,jt,hka
6,6,2019/08/03,1,fw,alf,alf,fw,alf,fw,fw,fw,alf
6,6,2019/08/03,2,alf,fw,fw,fw,fw,fw,fw,fw,alf
6,6,2019/08/04,1,ahq,fw,fw,ahq,ahq,fw,ahq,fw,ahq
6,6,2019/08/04,2,fw,ahq,ahq,ahq,fw,,fw,ahq,fw
6,6,2019/08/04,3,ahq,fw,fw,fw,fw,fw,fw,fw,ahq
6,6,2019/08/04,1,grx,mad,mad,grx,grx,grx,mad,grx,mad
6,6,2019/08/04,2,mad,grx,grx,grx,mad,mad,mad,mad,grx
6,6,2019/08/04,3,grx,mad,mad,grx,mad,mad,mad,mad,grx
