League,Split,Date,Game,Blue Team,Red Team,First Blood,First Tower,First Dragon,First Inhibitor,First Baron,Winner,Loser
16,19,2020/06/06,1,png,fla,fla,fla,png,png,png,png,fla
16,19,2020/06/06,1,fur,itz,fur,itz,fur,itz,itz,itz,fur
16,19,2020/06/06,1,san,vk,vk,san,san,san,san,san,vk
16,19,2020/06/06,1,prg,kbm,prg,kbm,kbm,prg,prg,kbm,prg
16,19,2020/06/07,1,fla,itz,fla,itz,itz,itz,itz,itz,fla
16,19,2020/06/07,1,fur,prg,prg,prg,fur,prg,prg,prg,fur
16,19,2020/06/07,1,vk,kbm,kbm,vk,vk,kbm,vk,kbm,vk
16,19,2020/06/07,1,san,png,png,san,san,san,san,san,png
16,19,2020/06/13,1,vk,prg,vk,vk,vk,,vk,vk,prg
16,19,2020/06/13,1,kbm,san,kbm,kbm,san,,san,san,kbm
16,19,2020/06/13,1,itz,png,png,png,png,png,,png,itz
16,19,2020/06/13,1,fla,fur,fla,fur,fur,fur,fur,fur,fla
16,19,2020/06/14,1,itz,san,itz,itz,san,san,san,san,itz
16,19,2020/06/14,1,png,vk,vk,png,png,png,png,png,vk
16,19,2020/06/14,1,prg,fla,fla,fla,fla,fla,,fla,prg
16,19,2020/06/14,1,fur,kbm,kbm,fur,kbm,kbm,fur,kbm,fur
16,19,2020/06/20,1,san,fur,fur,san,san,san,san,fur,san
16,19,2020/06/20,1,fla,vk,vk,vk,vk,vk,fla,fla,vk
16,19,2020/06/20,1,kbm,png,-,-,-,-,-,-,-
16,19,2020/06/20,1,itz,prg,itz,itz,itz,itz,itz,itz,prg
16,19,2020/06/21,1,kbm,fla,fla,kbm,fla,fla,fla,fla,kbm
16,19,2020/06/21,1,prg,san,prg,san,san,san,san,san,prg
16,19,2020/06/21,1,png,fur,png,png,png,png,fur,png,fur
16,19,2020/06/21,1,vk,itz,vk,vk,vk,vk,vk,vk,itz
16,19,2020/06/27,1,png,prg,png,prg,png,png,png,png,prg
16,19,2020/06/27,1,itz,kbm,itz,kbm,kbm,itz,itz,itz,kbm
16,19,2020/06/27,1,fla,san,fla,fla,san,fla,,fla,san
16,19,2020/06/27,1,fur,vk,fur,vk,fur,fur,fur,fur,vk
16,19,2020/06/28,1,fla,png,fla,png,png,png,png,png,fla
16,19,2020/06/28,1,vk,san,vk,san,san,san,san,san,vk
16,19,2020/06/28,1,itz,fur,itz,itz,itz,itz,itz,itz,fur
16,19,2020/06/28,1,kbm,prg,kbm,kbm,kbm,kbm,kbm,kbm,prg
16,19,2020/07/04,1,kbm,vk,vk,kbm,vk,kbm,kbm,kbm,vk
16,19,2020/07/04,1,png,san,png,png,png,png,,png,san
16,19,2020/07/04,1,itz,fla,itz,fla,fla,itz,itz,itz,fla
16,19,2020/07/04,1,prg,fur,prg,prg,fur,prg,,prg,fur
