League,Split,Date,Game,Blue Team,Red Team,First Blood,First Tower,First Dragon,First Inhibitor,First Baron,Winner,Loser
2,2,2020/06/17,1,sb,af,-,-,-,-,-,-,-
2,2,2020/06/17,2,af,sb,af,af,af,af,af,af,sb
2,2,2020/06/17,1,drx,t1,drx,drx,drx,drx,,drx,t1
2,2,2020/06/17,2,t1,drx,t1,drx,t1,t1,drx,t1,drx
2,2,2020/06/17,3,drx,t1,t1,t1,t1,drx,drx,drx,t1
2,2,2020/06/18,1,kt,dyn,kt,dyn,kt,dyn,dyn,dyn,kt
2,2,2020/06/18,2,dyn,kt,dyn,dyn,dyn,,dyn,dyn,kt
2,2,2020/06/18,1,hle,sp,sp,sp,sp,sp,sp,sp,hle
2,2,2020/06/18,2,sp,hle,sp,sp,sp,sp,sp,hle,sp
2,2,2020/06/18,3,hle,sp,sp,sp,sp,sp,sp,sp,hle
2,2,2020/06/19,1,dwg,sb,dwg,dwg,sb,dwg,,dwg,sb
2,2,2020/06/19,2,sb,dwg,dwg,dwg,sb,dwg,,dwg,sb
2,2,2020/06/19,1,gen,drx,gen,gen,drx,drx,drx,drx,gen
2,2,2020/06/19,2,drx,gen,drx,gen,drx,gen,gen,gen,drx
2,2,2020/06/19,3,gen,drx,gen,gen,gen,drx,drx,drx,gen
2,2,2020/06/20,1,dyn,af,af,dyn,dyn,dyn,dyn,dyn,af
2,2,2020/06/20,2,af,dyn,dyn,af,dyn,af,dyn,af,dyn
2,2,2020/06/20,3,dyn,af,dyn,af,af,,af,af,dyn
2,2,2020/06/20,1,t1,hle,t1,t1,hle,t1,t1,t1,hle
2,2,2020/06/20,2,hle,t1,t1,hle,t1,hle,hle,hle,t1
2,2,2020/06/20,3,t1,hle,hle,hle,t1,t1,t1,t1,hle
2,2,2020/06/21,1,kt,gen,kt,gen,kt,kt,gen,kt,gen
2,2,2020/06/21,2,gen,kt,gen,kt,gen,gen,gen,gen,kt
2,2,2020/06/21,3,kt,gen,gen,gen,gen,gen,gen,gen,kt
2,2,2020/06/21,1,sp,dwg,sp,dwg,dwg,dwg,dwg,dwg,sp
2,2,2020/06/21,2,dwg,sp,sp,dwg,sp,dwg,dwg,dwg,sp
2,2,2020/06/24,1,dyn,sp,sp,dyn,dyn,dyn,dyn,dyn,sp
2,2,2020/06/24,2,sp,dyn,dyn,dyn,dyn,sp,sp,sp,dyn
2,2,2020/06/24,3,dyn,sp,sp,dyn,sp,dyn,dyn,dyn,sp
2,2,2020/06/24,1,hle,kt,kt,kt,kt,kt,kt,kt,hle
2,2,2020/06/24,2,kt,hle,kt,kt,hle,kt,kt,kt,hle
2,2,2020/06/25,1,drx,sb,drx,sb,drx,drx,drx,drx,sb
2,2,2020/06/25,2,sb,drx,sb,sb,drx,sb,sb,sb,drx
2,2,2020/06/25,3,drx,sb,sb,sb,sb,drx,drx,drx,sb
2,2,2020/06/25,1,gen,dwg,gen,dwg,gen,gen,,gen,dwg
2,2,2020/06/25,2,dwg,gen,gen,dwg,gen,dwg,dwg,dwg,gen
2,2,2020/06/25,3,gen,dwg,dwg,dwg,gen,gen,gen,gen,dwg
2,2,2020/06/26,1,af,t1,af,t1,t1,af,,af,t1
2,2,2020/06/26,2,t1,af,t1,t1,t1,t1,t1,t1,af
2,2,2020/06/26,3,af,t1,af,t1,t1,t1,t1,t1,af
2,2,2020/06/26,1,hle,dyn,hle,dyn,hle,dyn,dyn,dyn,hle
2,2,2020/06/26,2,dyn,hle,hle,dyn,dyn,,,dyn,hle
2,2,2020/06/27,1,sp,gen,gen,gen,gen,gen,gen,gen,sp
2,2,2020/06/27,2,gen,sp,gen,gen,sp,gen,gen,gen,sp
2,2,2020/06/27,1,dwg,kt,kt,dwg,kt,dwg,,dwg,kt
2,2,2020/06/27,2,kt,dwg,dwg,dwg,dwg,dwg,dwg,dwg,kt
2,2,2020/06/28,1,af,drx,af,drx,af,drx,drx,drx,af
2,2,2020/06/28,2,drx,af,af,af,drx,drx,drx,drx,af
2,2,2020/06/28,1,sb,t1,t1,sb,t1,t1,t1,t1,sb
2,2,2020/06/28,2,t1,sb,sb,sb,sb,t1,t1,t1,sb
