League,Split,Date,Game,Blue Team,Red Team,First Blood,First Tower,First Dragon,First Inhibitor,First Baron,Winner,Loser
3,3,2020/08/07,1,vit,rge,vit,vit,vit,vit,vit,vit,rge
3,3,2020/08/07,1,xl,og,og,xl,xl,og,og,xl,og
3,3,2020/08/07,1,s04,fnc,fnc,fnc,fnc,s04,s04,s04,fnc
3,3,2020/08/07,1,mad,msf,mad,mad,msf,mad,mad,mad,msf
3,3,2020/08/07,1,g2,sk,sk,g2,g2,g2,g2,g2,sk
3,3,2020/08/08,1,s04,vit,s04,vit,vit,s04,s04,s04,vit
3,3,2020/08/08,1,sk,og,sk,sk,sk,sk,sk,sk,og
3,3,2020/08/08,1,xl,fnc,fnc,xl,xl,fnc,fnc,fnc,xl
3,3,2020/08/08,1,msf,g2,g2,g2,g2,g2,g2,g2,msf
3,3,2020/08/09,1,msf,vit,vit,msf,vit,msf,msf,msf,vit
3,3,2020/08/09,1,mad,s04,mad,mad,mad,,,s04,mad
3,3,2020/08/09,1,og,rge,rge,og,rge,rge,rge,rge,og
3,3,2020/08/09,1,g2,xl,g2,g2,xl,g2,g2,g2,xl
