League,Split,Date,Game,Blue Team,Red Team,First Blood,First Tower,First Dragon,First Inhibitor,First Baron,Winner,Loser
5,5,2020/07/28,1,msfp,go,msfp,go,msfp,msfp,go,msfp,go
5,5,2020/07/28,1,gw,izi,izi,gw,izi,gw,gw,gw,izi
5,5,2020/07/28,1,mces,sly,mces,sly,sly,sly,sly,sly,mces
5,5,2020/07/28,1,ldlc,vitb,vitb,ldlc,ldlc,ldlc,ldlc,ldlc,vitb
5,5,2020/07/29,1,vitb,gw,vitb,vitb,vitb,gw,gw,gw,vitb
5,5,2020/07/29,1,ldlc,mces,ldlc,mces,mces,ldlc,ldlc,ldlc,mces
5,5,2020/07/29,1,msfp,sly,sly,msfp,sly,msfp,msfp,msfp,sly
5,5,2020/07/29,1,go,izi,go,go,go,go,go,go,izi
5,5,2020/07/30,1,izi,ldlc,izi,izi,izi,ldlc,ldlc,ldlc,izi
5,5,2020/07/30,1,gw,go,go,go,go,go,go,go,gw
5,5,2020/07/30,1,sly,vitb,vitb,sly,vitb,vitb,sly,vitb,sly
5,5,2020/07/30,1,mces,msfp,msfp,mces,mces,msfp,mces,msfp,mces
5,5,2020/08/04,1,vitb,izi,vitb,izi,vitb,izi,izi,izi,vitb
5,5,2020/08/04,1,gw,mces,mces,gw,mces,gw,mces,gw,mces
5,5,2020/08/04,1,sly,go,sly,sly,go,sly,sly,go,sly
5,5,2020/08/04,1,msfp,ldlc,msfp,ldlc,ldlc,msfp,msfp,ldlc,msfp
5,5,2020/08/05,1,mces,go,mces,mces,mces,go,go,go,mces
5,5,2020/08/05,1,izi,sly,izi,izi,sly,izi,izi,izi,sly
5,5,2020/08/05,1,gw,ldlc,ldlc,ldlc,gw,,ldlc,ldlc,gw
5,5,2020/08/05,1,msfp,vitb,vitb,vitb,msfp,msfp,msfp,vitb,msfp
