League,Split,Date,Game,Blue Team,Red Team,First Blood,First Tower,First Dragon,First Inhibitor,First Baron,Winner,Loser
13,16,2020/06/13,1,cga,axz,axz,cga,axz,cga,cga,cga,axz
13,16,2020/06/13,1,v3,axz,v3,v3,v3,v3,v3,v3,axz
13,16,2020/06/13,1,bc,cga,bc,cga,cga,cga,cga,cga,bc
13,16,2020/06/13,1,bc,v3,v3,v3,v3,v3,v3,v3,bc
13,16,2020/06/13,1,sg,rj,sg,sg,sg,,sg,sg,rj
13,16,2020/06/13,1,sg,dfm,dfm,sg,dfm,sg,sg,sg,dfm
13,16,2020/06/13,1,shg,dfm,dfm,shg,dfm,dfm,dfm,dfm,shg
13,16,2020/06/13,1,shg,rj,rj,shg,shg,shg,,shg,rj
13,16,2020/06/20,1,sg,shg,sg,sg,shg,sg,sg,sg,shg
13,16,2020/06/20,1,v3,sg,sg,sg,v3,v3,v3,v3,sg
13,16,2020/06/20,1,cga,v3,v3,v3,v3,v3,v3,v3,cga
13,16,2020/06/20,1,shg,cga,cga,cga,cga,cga,cga,cga,shg
13,16,2020/06/20,1,rj,dfm,rj,dfm,dfm,rj,rj,dfm,rj
13,16,2020/06/20,1,bc,rj,bc,rj,rj,bc,bc,bc,rj
13,16,2020/06/20,1,axz,bc,bc,bc,axz,bc,bc,bc,axz
13,16,2020/06/20,1,dfm,axz,-,-,-,-,-,-,-
13,16,2020/06/28,1,shg,bc,shg,shg,shg,shg,shg,shg,bc
13,16,2020/06/28,1,shg,v3,v3,v3,v3,v3,v3,v3,shg
13,16,2020/06/28,1,dfm,v3,dfm,dfm,dfm,v3,v3,v3,dfm
13,16,2020/06/28,1,bc,dfm,dfm,bc,bc,dfm,dfm,dfm,bc
13,16,2020/06/28,1,axz,sg,axz,sg,axz,sg,sg,sg,axz
13,16,2020/06/28,1,axz,rj,axz,axz,axz,rj,rj,rj,axz
13,16,2020/06/28,1,cga,rj,rj,cga,cga,,cga,cga,rj
13,16,2020/06/28,1,sg,cga,-,-,-,-,-,-,-
13,16,2020/07/04,1,shg,rj,rj,shg,shg,rj,rj,rj,shg
13,16,2020/07/04,1,v3,rj,v3,v3,rj,v3,,v3,rj
13,16,2020/07/04,1,shg,axz,axz,axz,shg,shg,shg,shg,axz
13,16,2020/07/04,1,axz,v3,v3,axz,v3,v3,v3,v3,axz
13,16,2020/07/04,1,bc,cga,-,-,-,-,-,-,-
13,16,2020/07/04,1,bc,sg,bc,sg,sg,sg,bc,sg,bc
13,16,2020/07/04,1,cga,dfm,dfm,cga,dfm,,cga,cga,dfm
13,16,2020/07/04,1,dfm,sg,dfm,sg,sg,sg,sg,sg,dfm
13,16,2020/07/25,1,sg,axz,axz,axz,sg,axz,axz,axz,sg
13,16,2020/07/25,1,rj,sg,rj,sg,rj,,sg,sg,rj
13,16,2020/07/25,1,rj,bc,rj,rj,bc,bc,bc,bc,rj
13,16,2020/07/25,1,bc,axz,bc,axz,axz,,bc,bc,axz
13,16,2020/07/25,1,v3,dfm,v3,v3,dfm,v3,v3,v3,dfm
13,16,2020/07/25,1,v3,cga,v3,cga,v3,cga,cga,cga,v3
13,16,2020/07/25,1,cga,shg,cga,cga,shg,cga,,cga,shg
13,16,2020/07/25,1,dfm,shg,dfm,dfm,dfm,shg,shg,shg,dfm
13,16,2020/07/26,1,bc,sg,sg,bc,bc,sg,sg,sg,bc
13,16,2020/07/26,1,shg,sg,shg,sg,sg,shg,shg,shg,sg
13,16,2020/07/26,1,shg,v3,v3,v3,v3,v3,v3,v3,shg
13,16,2020/07/26,1,bc,dfm,bc,bc,dfm,bc,bc,bc,dfm
13,16,2020/07/26,1,v3,rj,v3,v3,v3,v3,,v3,rj
13,16,2020/07/26,1,cga,rj,cga,rj,rj,cga,,cga,rj
13,16,2020/07/26,1,dfm,axz,dfm,axz,dfm,dfm,dfm,dfm,axz
13,16,2020/07/26,1,axz,cga,-,-,-,-,-,-,-
13,16,2020/08/01,1,dfm,rj,dfm,rj,dfm,dfm,dfm,dfm,rj
13,16,2020/08/01,1,cga,dfm,dfm,dfm,dfm,dfm,,dfm,cga
13,16,2020/08/01,1,cga,sg,cga,cga,cga,sg,sg,sg,cga
13,16,2020/08/01,1,rj,axz,axz,rj,rj,axz,axz,axz,rj
13,16,2020/08/01,1,sg,v3,v3,sg,sg,sg,sg,sg,v3
13,16,2020/08/01,1,v3,bc,v3,v3,v3,v3,v3,v3,bc
13,16,2020/08/01,1,shg,axz,shg,axz,shg,,shg,shg,axz
13,16,2020/08/01,1,bc,shg,shg,bc,shg,shg,shg,shg,bc
13,16,2020/08/05,1,dfm,shg,dfm,shg,dfm,dfm,dfm,dfm,shg
