League,Split,Date,Game,Blue Team,Red Team,First Blood,First Tower,First Dragon,First Inhibitor,First Baron,Winner,Loser
8,8,2020/08/08,1,ak,uch,ak,uch,uch,ak,ak,ak,uch
8,8,2020/08/08,1,r7,isg,r7,r7,isg,,isg,isg,r7
8,8,2020/08/08,1,ak,inf,inf,ak,ak,inf,inf,inf,ak
8,8,2020/08/08,1,isg,uch,isg,isg,uch,uch,uch,uch,isg
8,8,2020/08/09,1,inf,r7,r7,inf,r7,r7,r7,r7,inf
8,8,2020/08/09,1,uch,r7,r7,r7,r7,r7,r7,r7,uch
8,8,2020/08/09,1,isg,ak,isg,isg,isg,isg,isg,isg,ak
8,8,2020/08/09,1,uch,inf,uch,uch,uch,uch,uch,uch,inf
8,8,2020/08/09,1,r7,ak,r7,ak,ak,ak,ak,ak,r7
8,8,2020/08/10,1,inf,isg,isg,inf,isg,isg,isg,isg,inf
