League,Split,Date,Game,Blue Team,Red Team,First Blood,First Tower,First Dragon,First Inhibitor,First Baron,Winner,Loser
6,6,2020/06/15,1,g2ar,ucam,-,-,-,-,-,-,-
6,6,2020/06/15,1,bts,bcn,-,-,-,-,-,-,-
6,6,2020/06/15,1,ttq,s2v,s2v,s2v,s2v,s2v,s2v,s2v,ttq
6,6,2020/06/15,1,madm,emz,emz,madm,emz,emz,,emz,madm
6,6,2020/06/15,1,mrs,vgia,vgia,mrs,vgia,mrs,mrs,mrs,vgia
6,6,2020/06/18,1,vgia,bcn,bcn,vgia,bcn,vgia,bcn,vgia,bcn
6,6,2020/06/18,1,bts,ucam,ucam,bts,bts,bts,bts,bts,ucam
6,6,2020/06/18,1,madm,s2v,s2v,s2v,s2v,s2v,s2v,s2v,madm
6,6,2020/06/18,1,emz,ttq,ttq,ttq,ttq,emz,,emz,ttq
6,6,2020/06/18,1,mrs,g2ar,mrs,mrs,mrs,mrs,mrs,mrs,g2ar
6,6,2020/06/22,1,bts,emz,emz,emz,emz,emz,,emz,bts
6,6,2020/06/22,1,g2ar,ttq,ttq,ttq,g2ar,g2ar,g2ar,g2ar,ttq
6,6,2020/06/22,1,bcn,mrs,mrs,mrs,mrs,bcn,bcn,bcn,mrs
6,6,2020/06/22,1,vgia,s2v,s2v,vgia,s2v,vgia,vgia,vgia,s2v
6,6,2020/06/22,1,ucam,madm,madm,ucam,ucam,ucam,madm,madm,ucam
6,6,2020/06/25,1,mrs,ttq,ttq,ttq,mrs,ttq,ttq,mrs,ttq
6,6,2020/06/25,1,ucam,s2v,ucam,ucam,s2v,ucam,ucam,ucam,s2v
6,6,2020/06/25,1,g2ar,madm,madm,g2ar,g2ar,g2ar,g2ar,g2ar,madm
6,6,2020/06/25,1,emz,bcn,bcn,bcn,bcn,emz,bcn,bcn,emz
6,6,2020/06/25,1,vgia,bts,bts,vgia,vgia,vgia,vgia,vgia,bts
6,6,2020/06/29,1,g2ar,bcn,g2ar,bcn,g2ar,g2ar,g2ar,g2ar,bcn
6,6,2020/06/29,1,madm,ttq,madm,madm,ttq,madm,madm,madm,ttq
6,6,2020/06/29,1,ucam,vgia,ucam,vgia,ucam,vgia,vgia,vgia,ucam
6,6,2020/06/29,1,mrs,bts,mrs,mrs,bts,bts,bts,bts,mrs
6,6,2020/06/29,1,emz,s2v,s2v,s2v,emz,s2v,s2v,s2v,emz
6,6,2020/07/02,1,ttq,bts,bts,ttq,ttq,ttq,ttq,ttq,bts
6,6,2020/07/02,1,madm,bcn,madm,madm,bcn,madm,madm,madm,bcn
6,6,2020/07/02,1,g2ar,s2v,-,-,-,-,-,-,-
6,6,2020/07/02,1,ucam,mrs,-,-,-,-,-,-,-
6,6,2020/07/02,1,vgia,emz,vgia,vgia,vgia,vgia,vgia,vgia,emz
6,6,2020/07/06,1,emz,ucam,emz,emz,ucam,emz,emz,emz,ucam
6,6,2020/07/06,1,ttq,bcn,bcn,bcn,bcn,ttq,ttq,ttq,bcn
6,6,2020/07/06,1,bts,g2ar,bts,bts,bts,bts,bts,bts,g2ar
6,6,2020/07/06,1,mrs,s2v,mrs,mrs,s2v,s2v,s2v,s2v,mrs
6,6,2020/07/06,1,vgia,madm,madm,vgia,vgia,vgia,vgia,vgia,madm
6,6,2020/07/08,1,ttq,vgia,vgia,vgia,vgia,,ttq,vgia,ttq
6,6,2020/07/08,1,g2ar,emz,g2ar,g2ar,g2ar,g2ar,g2ar,g2ar,emz
6,6,2020/07/08,1,ucam,bcn,bcn,ucam,ucam,ucam,ucam,ucam,bcn
6,6,2020/07/08,1,madm,mrs,mrs,mrs,mrs,,,mrs,madm
6,6,2020/07/08,1,bts,s2v,s2v,s2v,s2v,s2v,s2v,s2v,bts
