League,Split,Date,Game,Blue Team,Red Team,First Blood,First Tower,First Dragon,First Inhibitor,First Baron,Winner,Loser
11,11,2020/06/11,1,c9.a,100.a,c9.a,c9.a,100.a,100.a,100.a,100.a,c9.a
11,11,2020/06/11,1,fly.a,imt.a,fly.a,fly.a,imt.a,fly.a,fly.a,fly.a,imt.a
11,11,2020/06/12,1,tsm.a,tl.a,tl.a,tl.a,tsm.a,tsm.a,tsm.a,tsm.a,tl.a
11,11,2020/06/12,1,eg.a,clg.a,-,-,-,-,-,-,-
11,11,2020/06/12,1,gg.a,dig.a,gg.a,gg.a,gg.a,gg.a,gg.a,gg.a,dig.a
11,11,2020/06/12,1,fly.a,c9.a,fly.a,fly.a,c9.a,fly.a,c9.a,fly.a,c9.a
11,11,2020/06/12,1,100.a,eg.a,100.a,100.a,100.a,100.a,100.a,100.a,eg.a
11,11,2020/06/12,1,tl.a,gg.a,gg.a,gg.a,gg.a,gg.a,gg.a,gg.a,tl.a
11,11,2020/06/12,1,dig.a,tsm.a,-,-,-,-,-,-,-
11,11,2020/06/12,1,imt.a,clg.a,-,-,-,-,-,-,-
11,11,2020/06/18,1,c9.a,eg.a,c9.a,c9.a,c9.a,eg.a,eg.a,eg.a,c9.a
11,11,2020/06/18,1,clg.a,gg.a,gg.a,clg.a,gg.a,clg.a,clg.a,clg.a,gg.a
11,11,2020/06/19,1,tl.a,100.a,tl.a,100.a,tl.a,tl.a,tl.a,tl.a,100.a
11,11,2020/06/19,1,imt.a,tsm.a,tsm.a,imt.a,tsm.a,imt.a,imt.a,imt.a,tsm.a
11,11,2020/06/19,1,fly.a,dig.a,fly.a,dig.a,fly.a,dig.a,dig.a,dig.a,fly.a
11,11,2020/06/19,1,gg.a,c9.a,c9.a,c9.a,c9.a,c9.a,c9.a,c9.a,gg.a
11,11,2020/06/19,1,eg.a,tl.a,tl.a,tl.a,eg.a,eg.a,eg.a,eg.a,tl.a
11,11,2020/06/19,1,tsm.a,fly.a,fly.a,fly.a,tsm.a,tsm.a,tsm.a,tsm.a,fly.a
11,11,2020/06/19,1,100.a,imt.a,100.a,100.a,imt.a,100.a,100.a,100.a,imt.a
11,11,2020/06/19,1,dig.a,clg.a,dig.a,clg.a,dig.a,clg.a,clg.a,clg.a,dig.a
11,11,2020/06/25,1,eg.a,dig.a,eg.a,eg.a,eg.a,eg.a,eg.a,eg.a,dig.a
11,11,2020/06/25,1,tl.a,c9.a,tl.a,c9.a,c9.a,c9.a,c9.a,c9.a,tl.a
11,11,2020/06/26,1,imt.a,gg.a,imt.a,imt.a,imt.a,imt.a,imt.a,imt.a,gg.a
11,11,2020/06/26,1,100.a,tsm.a,tsm.a,tsm.a,tsm.a,tsm.a,tsm.a,tsm.a,100.a
11,11,2020/06/26,1,fly.a,clg.a,clg.a,clg.a,fly.a,,clg.a,clg.a,fly.a
11,11,2020/06/26,1,c9.a,imt.a,imt.a,c9.a,c9.a,c9.a,imt.a,c9.a,imt.a
11,11,2020/06/26,1,dig.a,tl.a,dig.a,dig.a,tl.a,dig.a,dig.a,dig.a,tl.a
11,11,2020/06/26,1,gg.a,fly.a,gg.a,gg.a,gg.a,gg.a,,gg.a,fly.a
11,11,2020/06/26,1,tsm.a,eg.a,tsm.a,eg.a,tsm.a,tsm.a,eg.a,tsm.a,eg.a
11,11,2020/06/26,1,clg.a,100.a,clg.a,100.a,100.a,100.a,100.a,100.a,clg.a
11,11,2020/07/02,1,dig.a,100.a,-,-,-,-,-,-,-
11,11,2020/07/02,1,gg.a,tsm.a,-,-,-,-,-,-,-
11,11,2020/07/03,1,c9.a,clg.a,clg.a,clg.a,c9.a,c9.a,c9.a,c9.a,clg.a
11,11,2020/07/03,1,tl.a,imt.a,imt.a,imt.a,tl.a,imt.a,imt.a,imt.a,tl.a
11,11,2020/07/03,1,eg.a,fly.a,eg.a,fly.a,eg.a,eg.a,eg.a,eg.a,fly.a
11,11,2020/07/03,1,c9.a,dig.a,dig.a,c9.a,c9.a,c9.a,c9.a,c9.a,dig.a
11,11,2020/07/03,1,tsm.a,clg.a,tsm.a,clg.a,tsm.a,tsm.a,tsm.a,tsm.a,clg.a
11,11,2020/07/03,1,fly.a,tl.a,tl.a,fly.a,tl.a,fly.a,tl.a,fly.a,tl.a
11,11,2020/07/03,1,imt.a,eg.a,eg.a,eg.a,imt.a,imt.a,imt.a,imt.a,eg.a
11,11,2020/07/03,1,100.a,gg.a,gg.a,gg.a,100.a,gg.a,,gg.a,100.a
11,11,2020/07/09,1,tl.a,clg.a,clg.a,clg.a,clg.a,tl.a,,tl.a,clg.a
11,11,2020/07/09,1,fly.a,100.a,100.a,100.a,100.a,fly.a,fly.a,fly.a,100.a
11,11,2020/07/10,1,c9.a,tsm.a,c9.a,c9.a,c9.a,c9.a,c9.a,c9.a,tsm.a
11,11,2020/07/10,1,eg.a,gg.a,gg.a,gg.a,gg.a,eg.a,eg.a,eg.a,gg.a
11,11,2020/07/10,1,imt.a,dig.a,dig.a,dig.a,imt.a,imt.a,imt.a,imt.a,dig.a
11,11,2020/07/10,1,100.a,c9.a,100.a,c9.a,c9.a,100.a,100.a,100.a,c9.a
11,11,2020/07/10,1,gg.a,tl.a,gg.a,gg.a,gg.a,gg.a,gg.a,gg.a,tl.a
11,11,2020/07/10,1,clg.a,eg.a,clg.a,clg.a,clg.a,clg.a,clg.a,clg.a,eg.a
11,11,2020/07/10,1,dig.a,fly.a,fly.a,dig.a,fly.a,dig.a,,dig.a,fly.a
11,11,2020/07/10,1,tsm.a,imt.a,tsm.a,tsm.a,tsm.a,tsm.a,tsm.a,tsm.a,imt.a
11,11,2020/07/16,1,tl.a,eg.a,eg.a,eg.a,eg.a,eg.a,eg.a,eg.a,tl.a
11,11,2020/07/16,1,tsm.a,100.a,100.a,100.a,100.a,tsm.a,tsm.a,tsm.a,100.a
11,11,2020/07/17,1,c9.a,fly.a,fly.a,c9.a,c9.a,c9.a,c9.a,c9.a,fly.a
11,11,2020/07/17,1,gg.a,imt.a,gg.a,gg.a,gg.a,,gg.a,gg.a,imt.a
11,11,2020/07/17,1,dig.a,clg.a,clg.a,clg.a,clg.a,,dig.a,clg.a,dig.a
