League,Split,Date,Game,Blue Team,Red Team,First Blood,First Tower,First Dragon,First Inhibitor,First Baron,Winner,Loser
4,4,2020/06/05,1,pgg,chf,pgg,pgg,pgg,pgg,chf,pgg,chf
4,4,2020/06/05,1,av,mmm,av,av,av,av,av,av,mmm
4,4,2020/06/05,1,ord,grv,ord,ord,ord,ord,ord,ord,grv
4,4,2020/06/05,1,dw,lgc,lgc,lgc,lgc,lgc,lgc,lgc,dw
4,4,2020/06/06,1,chf,grv,-,-,-,-,-,-,-
4,4,2020/06/06,1,dw,av,-,-,-,-,-,-,-
4,4,2020/06/06,1,pgg,mmm,pgg,mmm,mmm,,pgg,pgg,mmm
4,4,2020/06/06,1,lgc,ord,ord,lgc,lgc,lgc,lgc,lgc,ord
4,4,2020/06/12,1,av,chf,av,av,av,chf,chf,chf,av
4,4,2020/06/12,1,lgc,grv,lgc,lgc,grv,lgc,lgc,lgc,grv
4,4,2020/06/12,1,mmm,dw,dw,dw,dw,dw,dw,dw,mmm
4,4,2020/06/12,1,pgg,ord,pgg,pgg,pgg,ord,ord,ord,pgg
4,4,2020/06/13,1,mmm,lgc,-,-,-,-,-,-,-
4,4,2020/06/13,1,chf,ord,-,-,-,-,-,-,-
4,4,2020/06/13,1,grv,av,grv,av,av,grv,grv,grv,av
4,4,2020/06/13,1,dw,pgg,dw,dw,dw,dw,dw,dw,pgg
4,4,2020/06/19,1,grv,dw,dw,dw,grv,dw,dw,dw,grv
4,4,2020/06/19,1,chf,mmm,chf,chf,chf,chf,chf,chf,mmm
4,4,2020/06/19,1,pgg,lgc,pgg,pgg,pgg,pgg,lgc,lgc,pgg
4,4,2020/06/19,1,ord,av,ord,ord,ord,av,av,av,ord
4,4,2020/06/20,1,mmm,ord,ord,ord,ord,ord,ord,ord,mmm
4,4,2020/06/20,1,grv,pgg,grv,grv,grv,,pgg,pgg,grv
4,4,2020/06/20,1,av,lgc,av,av,lgc,lgc,lgc,lgc,av
4,4,2020/06/20,1,chf,dw,chf,chf,chf,chf,chf,chf,dw
4,4,2020/06/26,1,pgg,av,pgg,pgg,pgg,pgg,av,pgg,av
4,4,2020/06/26,1,dw,ord,dw,dw,ord,dw,dw,dw,ord
4,4,2020/06/26,1,grv,mmm,mmm,mmm,mmm,mmm,mmm,mmm,grv
4,4,2020/06/26,1,chf,lgc,chf,chf,chf,lgc,lgc,lgc,chf
4,4,2020/06/27,1,chf,pgg,pgg,chf,chf,pgg,pgg,pgg,chf
4,4,2020/06/27,1,av,mmm,av,av,av,av,av,av,mmm
4,4,2020/06/27,1,grv,ord,ord,ord,ord,ord,ord,ord,grv
4,4,2020/06/27,1,dw,lgc,dw,lgc,dw,lgc,dw,lgc,dw
4,4,2020/07/03,1,ord,lgc,ord,ord,lgc,ord,lgc,ord,lgc
4,4,2020/07/03,1,chf,grv,grv,chf,chf,chf,,chf,grv
4,4,2020/07/03,1,mmm,pgg,mmm,mmm,mmm,,pgg,pgg,mmm
4,4,2020/07/03,1,dw,av,av,av,av,dw,dw,dw,av
4,4,2020/07/04,1,lgc,grv,grv,lgc,lgc,lgc,,lgc,grv
4,4,2020/07/04,1,dw,mmm,mmm,dw,mmm,dw,,dw,mmm
4,4,2020/07/04,1,ord,pgg,pgg,ord,ord,ord,ord,ord,pgg
4,4,2020/07/10,1,mmm,lgc,mmm,mmm,mmm,mmm,lgc,mmm,lgc
4,4,2020/07/10,1,pgg,dw,dw,dw,dw,dw,dw,dw,pgg
4,4,2020/07/10,1,grv,av,av,grv,grv,av,av,av,grv
4,4,2020/07/10,1,ord,chf,chf,ord,chf,ord,chf,ord,chf
4,4,2020/07/11,1,dw,grv,grv,dw,dw,dw,dw,dw,grv
4,4,2020/07/11,1,chf,mmm,chf,chf,mmm,mmm,mmm,mmm,chf
4,4,2020/07/11,1,lgc,pgg,pgg,pgg,pgg,,pgg,pgg,lgc
4,4,2020/07/11,1,ord,av,-,-,-,-,-,-,-
4,4,2020/07/17,1,ord,mmm,ord,ord,ord,ord,ord,ord,mmm
4,4,2020/07/17,1,lgc,av,lgc,lgc,av,lgc,lgc,lgc,av
4,4,2020/07/17,1,chf,dw,chf,dw,dw,,chf,chf,dw
