League,Split,Date,Game,Blue Team,Red Team,First Blood,First Tower,First Dragon,First Inhibitor,First Baron,Winner,Loser
7,7,2020/06/20,1,psg,mcx,mcx,psg,psg,psg,psg,psg,mcx
7,7,2020/06/20,1,alf,jt,jt,jt,jt,jt,jt,jt,alf
7,7,2020/06/20,1,nov,psg,-,-,-,-,-,-,-
7,7,2020/06/20,1,rsg,mcx,mcx,mcx,mcx,mcx,mcx,mcx,rsg
7,7,2020/06/20,1,hka,lyb,lyb,hka,lyb,hka,hka,hka,lyb
7,7,2020/06/20,1,bjd,ahq,bjd,ahq,ahq,ahq,ahq,ahq,bjd
7,7,2020/06/21,1,rsg,nov,rsg,rsg,nov,nov,nov,nov,rsg
7,7,2020/06/21,1,ahq,jt,jt,ahq,ahq,jt,ahq,jt,ahq
7,7,2020/06/21,1,rsg,bjd,bjd,rsg,bjd,rsg,rsg,rsg,bjd
7,7,2020/06/21,1,psg,lyb,lyb,psg,psg,psg,,psg,lyb
7,7,2020/06/21,1,mcx,bjd,bjd,bjd,bjd,mcx,mcx,mcx,bjd
7,7,2020/06/21,1,alf,hka,alf,alf,alf,alf,hka,alf,hka
7,7,2020/06/27,1,hka,rsg,hka,hka,hka,hka,hka,hka,rsg
7,7,2020/06/27,1,bjd,lyb,bjd,bjd,bjd,bjd,bjd,bjd,lyb
7,7,2020/06/27,1,hka,psg,psg,hka,hka,hka,psg,hka,psg
7,7,2020/06/27,1,mcx,jt,jt,mcx,mcx,jt,jt,jt,mcx
7,7,2020/06/27,1,ahq,alf,alf,ahq,ahq,ahq,ahq,ahq,alf
7,7,2020/06/27,1,nov,jt,jt,jt,jt,jt,jt,jt,nov
7,7,2020/06/28,1,bjd,hka,hka,bjd,bjd,hka,hka,hka,bjd
7,7,2020/06/28,1,lyb,mcx,mcx,mcx,lyb,mcx,mcx,mcx,lyb
7,7,2020/06/28,1,rsg,jt,rsg,rsg,rsg,jt,jt,jt,rsg
7,7,2020/06/28,1,ahq,lyb,lyb,lyb,lyb,lyb,ahq,lyb,ahq
7,7,2020/06/28,1,alf,psg,alf,alf,alf,psg,psg,psg,alf
7,7,2020/06/28,1,ahq,nov,ahq,ahq,ahq,ahq,ahq,ahq,nov
7,7,2020/07/04,1,nov,lyb,nov,nov,lyb,nov,nov,nov,lyb
7,7,2020/07/04,1,alf,mcx,alf,alf,mcx,mcx,mcx,mcx,alf
7,7,2020/07/04,1,nov,hka,nov,nov,hka,nov,nov,nov,hka
7,7,2020/07/04,1,bjd,alf,alf,bjd,alf,bjd,alf,bjd,alf
7,7,2020/07/04,1,ahq,rsg,ahq,ahq,ahq,ahq,ahq,ahq,rsg
7,7,2020/07/04,1,jt,psg,jt,psg,jt,psg,jt,psg,jt
7,7,2020/07/05,1,alf,rsg,alf,alf,alf,rsg,rsg,alf,rsg
7,7,2020/07/05,1,psg,bjd,bjd,psg,psg,,psg,psg,bjd
7,7,2020/07/05,1,hka,jt,jt,jt,jt,jt,jt,jt,hka
7,7,2020/07/05,1,mcx,nov,mcx,mcx,mcx,mcx,mcx,mcx,nov
7,7,2020/07/05,1,jt,lyb,lyb,jt,jt,jt,jt,jt,lyb
7,7,2020/07/05,1,mcx,ahq,mcx,mcx,mcx,ahq,ahq,ahq,mcx
7,7,2020/07/11,1,bjd,nov,nov,nov,bjd,,nov,nov,bjd
7,7,2020/07/11,1,hka,mcx,mcx,hka,mcx,mcx,,mcx,hka
7,7,2020/07/11,1,nov,alf,alf,alf,nov,alf,alf,alf,nov
7,7,2020/07/11,1,bjd,jt,jt,jt,jt,jt,bjd,jt,bjd
7,7,2020/07/11,1,psg,ahq,ahq,ahq,psg,ahq,ahq,ahq,psg
7,7,2020/07/11,1,rsg,lyb,lyb,lyb,lyb,lyb,rsg,lyb,rsg
7,7,2020/07/12,1,rsg,psg,rsg,rsg,rsg,psg,psg,psg,rsg
7,7,2020/07/12,1,ahq,hka,hka,ahq,ahq,ahq,ahq,ahq,hka
7,7,2020/07/12,1,alf,lyb,alf,alf,alf,,alf,alf,lyb
7,7,2020/07/12,1,bjd,hka,hka,hka,hka,bjd,bjd,bjd,hka
7,7,2020/07/12,1,mcx,ahq,mcx,ahq,mcx,mcx,mcx,mcx,ahq
7,7,2020/07/12,1,jt,nov,jt,jt,nov,jt,jt,jt,nov
7,7,2020/07/18,1,jt,hka,jt,jt,jt,jt,jt,jt,hka
7,7,2020/07/18,1,mcx,psg,mcx,mcx,mcx,mcx,mcx,mcx,psg
7,7,2020/07/18,1,lyb,alf,alf,alf,alf,lyb,alf,alf,lyb
7,7,2020/07/18,1,ahq,nov,nov,ahq,ahq,ahq,nov,ahq,nov
7,7,2020/07/18,1,psg,lyb,lyb,psg,lyb,psg,lyb,lyb,psg
7,7,2020/07/18,1,bjd,rsg,rsg,bjd,bjd,bjd,bjd,bjd,rsg
7,7,2020/07/19,1,alf,psg,alf,alf,psg,,psg,psg,alf
7,7,2020/07/19,1,jt,ahq,jt,ahq,ahq,jt,jt,ahq,jt
7,7,2020/07/19,1,bjd,alf,alf,alf,bjd,bjd,bjd,bjd,alf
7,7,2020/07/19,1,mcx,rsg,mcx,rsg,mcx,mcx,mcx,mcx,rsg
7,7,2020/07/19,1,lyb,nov,nov,nov,lyb,nov,,nov,lyb
7,7,2020/07/19,1,rsg,hka,rsg,rsg,rsg,hka,hka,hka,rsg
7,7,2020/07/24,1,mcx,nov,mcx,mcx,nov,mcx,mcx,mcx,nov
7,7,2020/07/24,1,rsg,ahq,rsg,ahq,ahq,ahq,ahq,ahq,rsg
7,7,2020/07/24,1,psg,nov,psg,psg,psg,,psg,psg,nov
7,7,2020/07/24,1,ahq,bjd,ahq,ahq,ahq,ahq,ahq,ahq,bjd
7,7,2020/07/24,1,alf,hka,alf,hka,alf,,alf,alf,hka
7,7,2020/07/24,1,jt,lyb,jt,lyb,jt,jt,jt,jt,lyb
7,7,2020/07/25,1,ahq,lyb,lyb,ahq,ahq,ahq,ahq,ahq,lyb
7,7,2020/07/25,1,hka,nov,hka,nov,hka,hka,hka,hka,nov
7,7,2020/07/25,1,jt,rsg,jt,jt,jt,jt,,jt,rsg
7,7,2020/07/25,1,mcx,alf,alf,alf,alf,alf,alf,alf,mcx
7,7,2020/07/25,1,jt,psg,jt,psg,psg,psg,psg,psg,jt
7,7,2020/07/25,1,bjd,mcx,bjd,bjd,bjd,mcx,mcx,mcx,bjd
7,7,2020/07/26,1,jt,bjd,jt,jt,jt,jt,jt,jt,bjd
7,7,2020/07/26,1,nov,alf,alf,alf,alf,nov,nov,nov,alf
7,7,2020/07/26,1,lyb,hka,lyb,lyb,hka,hka,hka,hka,lyb
7,7,2020/07/26,1,ahq,psg,ahq,ahq,ahq,psg,psg,psg,ahq
7,7,2020/07/26,1,mcx,hka,hka,mcx,mcx,mcx,mcx,mcx,hka
7,7,2020/07/26,1,rsg,psg,psg,psg,psg,psg,rsg,psg,rsg
7,7,2020/07/31,1,nov,rsg,nov,nov,rsg,,rsg,nov,rsg
7,7,2020/07/31,1,mcx,lyb,mcx,mcx,mcx,mcx,mcx,mcx,lyb
7,7,2020/07/31,1,hka,ahq,ahq,ahq,ahq,ahq,ahq,ahq,hka
7,7,2020/07/31,1,bjd,lyb,bjd,lyb,lyb,lyb,,lyb,bjd
7,7,2020/07/31,1,jt,alf,alf,jt,alf,jt,jt,jt,alf
7,7,2020/07/31,1,bjd,psg,bjd,bjd,bjd,,psg,psg,bjd
7,7,2020/08/01,1,ahq,alf,ahq,alf,alf,ahq,ahq,ahq,alf
7,7,2020/08/01,1,psg,hka,-,-,-,-,-,-,-
7,7,2020/08/01,1,rsg,alf,alf,alf,alf,rsg,alf,rsg,alf
