League,Split,Date,Game,Blue Team,Red Team,First Blood,First Tower,First Dragon,First Inhibitor,First Baron,Winner,Loser
14,17,2020/06/06,1,iw,fb,iw,fb,fb,iw,iw,iw,fb
14,17,2020/06/06,1,aur,dp,aur,dp,dp,dp,dp,dp,aur
14,17,2020/06/06,1,bjk,gal,bjk,bjk,bjk,bjk,bjk,bjk,gal
14,17,2020/06/06,1,gs,5r,5r,5r,gs,,gs,gs,5r
14,17,2020/06/06,1,sup,ryl,sup,ryl,sup,,sup,sup,ryl
14,17,2020/06/07,1,fb,aur,fb,fb,aur,fb,,fb,aur
14,17,2020/06/07,1,iw,sup,sup,sup,iw,sup,sup,iw,sup
14,17,2020/06/07,1,ryl,5r,ryl,ryl,5r,ryl,ryl,ryl,5r
14,17,2020/06/07,1,gal,gs,gal,gal,gal,gal,gal,gal,gs
14,17,2020/06/07,1,bjk,dp,bjk,dp,dp,bjk,bjk,bjk,dp
14,17,2020/06/13,1,sup,fb,fb,sup,sup,fb,fb,fb,sup
14,17,2020/06/13,1,5r,iw,5r,5r,iw,iw,iw,iw,5r
14,17,2020/06/13,1,dp,gs,gs,gs,gs,dp,dp,dp,gs
14,17,2020/06/13,1,gal,ryl,gal,gal,gal,,gal,gal,ryl
14,17,2020/06/13,1,bjk,aur,aur,bjk,aur,bjk,bjk,bjk,aur
14,17,2020/06/14,1,dp,ryl,dp,dp,dp,dp,dp,dp,ryl
14,17,2020/06/14,1,iw,gal,iw,iw,gal,gal,iw,gal,iw
14,17,2020/06/14,1,gs,aur,aur,aur,gs,gs,gs,gs,aur
14,17,2020/06/14,1,sup,5r,5r,5r,sup,5r,5r,5r,sup
14,17,2020/06/14,1,bjk,fb,fb,fb,bjk,bjk,bjk,bjk,fb
14,17,2020/06/20,1,gal,sup,sup,gal,sup,sup,sup,sup,gal
14,17,2020/06/20,1,bjk,gs,bjk,bjk,gs,bjk,bjk,bjk,gs
14,17,2020/06/20,1,dp,iw,dp,dp,iw,dp,dp,dp,iw
14,17,2020/06/20,1,fb,5r,5r,5r,5r,5r,5r,5r,fb
14,17,2020/06/20,1,ryl,aur,aur,aur,aur,aur,aur,aur,ryl
14,17,2020/06/21,1,5r,gal,5r,gal,5r,gal,gal,5r,gal
14,17,2020/06/21,1,ryl,bjk,ryl,bjk,ryl,bjk,bjk,bjk,ryl
14,17,2020/06/21,1,aur,iw,iw,iw,iw,iw,iw,iw,aur
14,17,2020/06/21,1,dp,sup,dp,sup,sup,sup,sup,sup,dp
14,17,2020/06/21,1,fb,gs,gs,fb,fb,fb,fb,fb,gs
14,17,2020/06/27,1,aur,sup,aur,sup,sup,sup,sup,sup,aur
14,17,2020/06/27,1,gs,ryl,gs,gs,gs,gs,gs,gs,ryl
14,17,2020/06/27,1,gal,fb,fb,gal,gal,gal,gal,gal,fb
14,17,2020/06/27,1,bjk,iw,-,-,-,-,-,-,-
14,17,2020/06/27,1,dp,5r,-,-,-,-,-,-,-
14,17,2020/06/28,1,gs,iw,iw,iw,iw,iw,iw,iw,gs
14,17,2020/06/28,1,sup,bjk,bjk,sup,sup,sup,sup,sup,bjk
14,17,2020/06/28,1,5r,aur,aur,aur,5r,aur,aur,aur,5r
14,17,2020/06/28,1,fb,ryl,fb,fb,fb,fb,,fb,ryl
14,17,2020/06/28,1,gal,dp,gal,gal,gal,gal,gal,gal,dp
14,17,2020/07/04,1,gs,sup,sup,sup,sup,sup,sup,sup,gs
14,17,2020/07/04,1,5r,bjk,5r,5r,5r,5r,5r,5r,bjk
14,17,2020/07/04,1,fb,dp,dp,dp,dp,fb,fb,fb,dp
14,17,2020/07/04,1,gal,aur,aur,gal,gal,gal,,gal,aur
14,17,2020/07/04,1,iw,ryl,iw,ryl,iw,,,iw,ryl
14,17,2020/07/05,1,dp,aur,aur,aur,dp,dp,dp,dp,aur
14,17,2020/07/05,1,gs,5r,5r,5r,5r,5r,5r,5r,gs
14,17,2020/07/05,1,ryl,sup,ryl,sup,sup,sup,sup,sup,ryl
14,17,2020/07/05,1,bjk,gal,gal,gal,bjk,gal,gal,gal,bjk
14,17,2020/07/05,1,fb,iw,fb,iw,iw,iw,iw,iw,fb
14,17,2020/07/11,1,5r,ryl,ryl,5r,5r,ryl,ryl,ryl,5r
14,17,2020/07/11,1,sup,iw,iw,sup,iw,iw,sup,iw,sup
14,17,2020/07/11,1,dp,bjk,dp,dp,dp,dp,dp,dp,bjk
14,17,2020/07/11,1,aur,fb,aur,fb,fb,aur,aur,fb,aur
14,17,2020/07/11,1,gs,gal,gs,gal,gal,gal,gs,gal,gs
14,17,2020/07/12,1,iw,5r,5r,iw,5r,iw,iw,iw,5r
14,17,2020/07/12,1,bjk,aur,bjk,bjk,bjk,bjk,bjk,bjk,aur
14,17,2020/07/12,1,gal,ryl,gal,gal,gal,gal,gal,gal,ryl
14,17,2020/07/12,1,dp,gs,gs,gs,gs,gs,gs,gs,dp
14,17,2020/07/12,1,sup,fb,fb,sup,fb,fb,fb,fb,sup
14,17,2020/07/18,1,ryl,dp,dp,dp,dp,dp,dp,dp,ryl
14,17,2020/07/18,1,sup,5r,5r,sup,5r,5r,5r,5r,sup
14,17,2020/07/18,1,gal,iw,iw,iw,iw,iw,iw,iw,gal
14,17,2020/07/18,1,gs,aur,aur,gs,gs,gs,gs,gs,aur
14,17,2020/07/18,1,bjk,fb,fb,bjk,bjk,bjk,bjk,bjk,fb
14,17,2020/07/19,1,sup,gal,gal,sup,sup,gal,gal,gal,sup
14,17,2020/07/19,1,iw,dp,dp,dp,iw,iw,iw,iw,dp
