League,Split,Date,Game,Blue Team,Red Team,First Blood,First Tower,First Dragon,First Inhibitor,First Baron,Winner,Loser
9,9,2020/06/09,1,ttq,gg,ttq,gg,ttq,ttq,ttq,ttq,gg
9,9,2020/06/09,1,prd,arr,arr,prd,arr,arr,arr,arr,prd
9,9,2020/06/09,1,hit,ihg,ihg,ihg,ihg,hit,hit,hit,ihg
9,9,2020/06/09,1,ihg,hit,hit,ihg,hit,ihg,hit,ihg,hit
9,9,2020/06/10,1,hit,ihg,ihg,hit,hit,ihg,ihg,ihg,hit
9,9,2020/06/10,1,gg,arr,gg,arr,arr,gg,gg,gg,arr
9,9,2020/06/10,1,prd,arr,prd,prd,arr,prd,prd,prd,arr
9,9,2020/06/10,1,prd,ihg,ihg,ihg,ihg,ihg,ihg,ihg,prd
9,9,2020/06/10,1,prd,ihg,ihg,prd,prd,ihg,ihg,ihg,prd
9,9,2020/06/16,1,ihg,prd,ihg,ihg,prd,prd,prd,prd,ihg
9,9,2020/06/16,1,prd,arr,prd,prd,arr,prd,,prd,arr
9,9,2020/06/16,1,gg,hit,gg,gg,hit,hit,hit,hit,gg
9,9,2020/06/17,1,hit,arr,arr,hit,arr,hit,hit,hit,arr
9,9,2020/06/17,1,gg,ihg,ihg,ihg,ihg,ihg,ihg,ihg,gg
9,9,2020/06/17,1,gg,ihg,ihg,gg,gg,ihg,ihg,ihg,gg
9,9,2020/06/17,1,prd,ihg,ihg,prd,ihg,prd,prd,prd,ihg
9,9,2020/06/23,1,prd,gg,prd,prd,prd,,prd,prd,gg
9,9,2020/06/23,1,prd,hit,hit,prd,hit,prd,hit,prd,hit
9,9,2020/06/23,1,ihg,prd,-,-,-,-,-,-,-
9,9,2020/06/23,1,arr,prd,-,-,-,-,-,-,-
9,9,2020/06/23,1,gg,prd,gg,prd,prd,prd,,prd,gg
9,9,2020/06/24,1,gg,arr,gg,arr,gg,gg,arr,gg,arr
9,9,2020/06/24,1,ihg,arr,ihg,ihg,arr,arr,arr,arr,ihg
9,9,2020/06/24,1,hit,prd,prd,hit,hit,hit,hit,hit,prd
9,9,2020/06/24,1,hit,prd,hit,hit,hit,hit,hit,hit,prd
9,9,2020/06/30,1,prd,gg,prd,gg,gg,gg,prd,gg,prd
9,9,2020/06/30,1,hit,gg,gg,gg,hit,hit,hit,hit,gg
9,9,2020/06/30,1,ihg,arr,ihg,ihg,ihg,,ihg,ihg,arr
9,9,2020/06/30,1,ihg,ihg,ihg,ihg,ihg,ihg,ihg,ihg,ihg
9,9,2020/07/01,1,arr,gg,arr,arr,arr,arr,gg,gg,arr
9,9,2020/07/01,1,hit,gg,gg,hit,hit,gg,gg,gg,hit
9,9,2020/07/01,1,prd,hit,prd,hit,hit,hit,hit,hit,prd
9,9,2020/07/01,1,gg,prd,gg,prd,prd,prd,prd,prd,gg
9,9,2020/07/07,1,arr,gg,arr,arr,arr,gg,gg,gg,arr
9,9,2020/07/07,1,hit,arr,hit,hit,hit,arr,arr,arr,hit
9,9,2020/07/07,1,prd,ihg,prd,prd,prd,prd,prd,prd,ihg
9,9,2020/07/07,1,arr,ihg,ihg,ihg,arr,ihg,ihg,ihg,arr
9,9,2020/07/07,1,ihg,ihg,ihg,ihg,ihg,ihg,,ihg,ihg
9,9,2020/07/08,1,prd,ihg,ihg,ihg,ihg,ihg,ihg,ihg,prd
9,9,2020/07/08,1,hit,gg,gg,hit,hit,hit,hit,hit,gg
9,9,2020/07/08,1,arr,hit,arr,hit,arr,hit,arr,hit,arr
9,9,2020/07/14,1,arr,ihg,arr,arr,ihg,ihg,ihg,ihg,arr
9,9,2020/07/14,1,hit,prd,prd,hit,prd,prd,hit,prd,hit
9,9,2020/07/14,1,prd,gg,gg,prd,prd,prd,,prd,gg
9,9,2020/07/15,1,ihg,gg,ihg,gg,gg,gg,gg,gg,ihg
9,9,2020/07/15,1,ihg,gg,gg,gg,ihg,ihg,,ihg,gg
9,9,2020/07/15,1,arr,hit,arr,hit,hit,hit,hit,hit,arr
9,9,2020/07/15,1,arr,prd,arr,arr,prd,arr,arr,arr,prd
9,9,2020/07/15,1,gg,prd,gg,prd,gg,,,prd,gg
9,9,2020/07/21,1,prd,arr,prd,arr,arr,,arr,arr,prd
9,9,2020/07/21,1,hit,ihg,hit,ihg,ihg,,hit,hit,ihg
9,9,2020/07/21,1,hit,ihg,ihg,ihg,ihg,ihg,ihg,ihg,hit
9,9,2020/07/22,1,hit,hit,hit,hit,hit,hit,hit,hit,hit
9,9,2020/07/22,1,gg,prd,gg,gg,prd,gg,gg,gg,prd
9,9,2020/07/22,1,ihg,arr,ihg,ihg,ihg,ihg,ihg,ihg,arr
9,9,2020/07/22,1,ihg,arr,ihg,arr,arr,arr,arr,arr,ihg
9,9,2020/07/22,1,hit,arr,arr,arr,hit,arr,hit,hit,arr
