League,Split,Date,Game,Blue Team,Red Team,First Blood,First Tower,First Dragon,First Inhibitor,First Baron,Winner,Loser
15,18,2020/06/19,1,sgb,opg,sgb,sgb,opg,sgb,sgb,sgb,opg
15,18,2020/06/19,2,opg,sgb,opg,opg,opg,opg,opg,opg,sgb
15,18,2020/06/19,3,sgb,opg,opg,opg,opg,sgb,sgb,opg,sgb
15,18,2020/06/19,1,fl,per,fl,per,fl,per,per,per,fl
15,18,2020/06/19,2,per,fl,per,fl,fl,per,per,per,fl
15,18,2020/06/20,1,ts,ces,ces,ces,ces,ces,ces,ces,ts
15,18,2020/06/20,2,ces,ts,ts,ces,ts,ces,ces,ces,ts
15,18,2020/06/20,1,gam,evs,gam,gam,gam,gam,gam,gam,evs
15,18,2020/06/20,2,evs,gam,evs,evs,gam,evs,evs,evs,gam
15,18,2020/06/20,3,gam,evs,gam,gam,gam,gam,gam,gam,evs
15,18,2020/06/21,1,ces,fl,ces,ces,ces,ces,ces,ces,fl
15,18,2020/06/21,2,fl,ces,ces,ces,ces,ces,ces,ces,fl
15,18,2020/06/21,1,evs,ts,ts,ts,ts,ts,evs,ts,evs
15,18,2020/06/21,2,ts,evs,ts,ts,evs,,ts,ts,evs
15,18,2020/06/26,1,opg,gam,gam,gam,gam,gam,opg,gam,opg
15,18,2020/06/26,2,gam,opg,opg,opg,opg,,opg,opg,gam
15,18,2020/06/26,3,opg,gam,gam,gam,opg,gam,gam,gam,opg
15,18,2020/06/26,1,per,sgb,sgb,per,sgb,sgb,sgb,sgb,per
15,18,2020/06/26,2,sgb,per,sgb,sgb,sgb,sgb,sgb,sgb,per
15,18,2020/06/27,1,gam,per,per,per,per,per,per,per,gam
15,18,2020/06/27,2,per,gam,per,gam,per,per,,per,gam
15,18,2020/06/27,1,ts,opg,opg,opg,ts,ts,,ts,opg
15,18,2020/06/27,2,opg,ts,ts,ts,ts,ts,ts,ts,opg
15,18,2020/06/28,1,fl,sgb,fl,fl,fl,fl,fl,fl,sgb
15,18,2020/06/28,2,sgb,fl,fl,fl,sgb,fl,fl,fl,sgb
15,18,2020/06/28,1,ces,evs,evs,ces,evs,ces,ces,ces,evs
15,18,2020/06/28,2,evs,ces,evs,evs,ces,ces,evs,ces,evs
15,18,2020/07/03,1,opg,ces,ces,ces,ces,ces,ces,ces,opg
15,18,2020/07/03,2,ces,opg,ces,ces,ces,ces,ces,ces,opg
15,18,2020/07/03,1,sgb,gam,sgb,sgb,sgb,gam,gam,gam,sgb
15,18,2020/07/03,2,gam,sgb,gam,gam,sgb,gam,gam,sgb,gam
15,18,2020/07/03,3,sgb,gam,gam,gam,gam,gam,gam,gam,sgb
15,18,2020/07/04,1,per,ts,per,ts,per,per,per,per,ts
15,18,2020/07/04,2,ts,per,ts,ts,ts,ts,ts,ts,per
15,18,2020/07/04,3,per,ts,ts,ts,ts,ts,ts,ts,per
15,18,2020/07/04,1,evs,fl,fl,evs,fl,evs,evs,evs,fl
15,18,2020/07/04,2,fl,evs,evs,evs,fl,fl,evs,fl,evs
15,18,2020/07/04,3,evs,fl,fl,fl,evs,,evs,fl,evs
15,18,2020/07/05,1,evs,opg,opg,opg,opg,evs,evs,evs,opg
15,18,2020/07/05,2,opg,evs,evs,opg,evs,evs,evs,evs,opg
15,18,2020/07/05,1,ts,sgb,ts,ts,sgb,ts,ts,ts,sgb
15,18,2020/07/05,2,sgb,ts,sgb,sgb,ts,ts,ts,ts,sgb
15,18,2020/07/10,1,ces,per,ces,ces,ces,ces,ces,ces,per
15,18,2020/07/10,2,per,ces,ces,ces,ces,ces,ces,ces,per
15,18,2020/07/10,1,fl,gam,gam,gam,gam,gam,gam,gam,fl
15,18,2020/07/10,2,gam,fl,fl,fl,gam,fl,fl,fl,gam
15,18,2020/07/10,3,fl,gam,fl,fl,fl,gam,gam,fl,gam
15,18,2020/07/11,1,per,evs,per,evs,evs,evs,evs,evs,per
15,18,2020/07/11,2,evs,per,evs,evs,evs,evs,evs,evs,per
15,18,2020/07/11,1,sgb,ces,ces,sgb,sgb,sgb,sgb,sgb,ces
15,18,2020/07/11,2,ces,sgb,sgb,ces,ces,ces,ces,ces,sgb
15,18,2020/07/11,3,sgb,ces,sgb,ces,ces,ces,ces,ces,sgb
15,18,2020/07/12,1,opg,fl,fl,opg,opg,fl,fl,fl,opg
15,18,2020/07/12,2,fl,opg,fl,opg,fl,fl,fl,fl,opg
15,18,2020/07/12,1,gam,ts,gam,ts,ts,ts,ts,ts,gam
15,18,2020/07/12,2,ts,gam,-,-,-,-,-,-,-
