League,Split,Date,Game,Blue Team,Red Team,First Blood,First Tower,First Dragon,First Inhibitor,First Baron,Winner,Loser
11,11,2020/06/25,1,eg.a,dig.a,eg.a,eg.a,eg.a,eg.a,eg.a,eg.a,dig.a
11,11,2020/06/25,1,tl.a,c9.a,tl.a,c9.a,c9.a,c9.a,c9.a,c9.a,tl.a
11,11,2020/06/26,1,imt.a,gg.a,imt.a,imt.a,imt.a,imt.a,imt.a,imt.a,gg.a
11,11,2020/06/26,1,100.a,tsm.a,tsm.a,tsm.a,tsm.a,tsm.a,tsm.a,tsm.a,100.a
11,11,2020/06/26,1,fly.a,clg.a,clg.a,clg.a,fly.a,,clg.a,clg.a,fly.a
11,11,2020/06/26,1,c9.a,imt.a,imt.a,c9.a,c9.a,c9.a,imt.a,c9.a,imt.a
11,11,2020/06/26,1,dig.a,tl.a,dig.a,dig.a,tl.a,dig.a,dig.a,dig.a,tl.a
11,11,2020/06/26,1,gg.a,fly.a,gg.a,gg.a,gg.a,gg.a,,gg.a,fly.a
11,11,2020/06/26,1,tsm.a,eg.a,tsm.a,eg.a,tsm.a,tsm.a,eg.a,tsm.a,eg.a
11,11,2020/06/26,1,clg.a,100.a,clg.a,100.a,100.a,100.a,100.a,100.a,clg.a
